json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros),
60920, 1334123, 121085, 658962, 19285, 38310, 617658, 61372, 689741, 339871, 145288, 12323, 385549, 1712, 109142, 1372654, 340371, 37146, 322464, 3911, 15342, 340429, 12830, 297148, 263870, 45961, 2451, 257195, 540, 616079, 28026, 938055, 74160, 413779, 10296, 25281, 381864, 30809, 593385, 278634, 96573, 2750, 242301, 519, 102884, 50323, 1025910, 68174, 368674, 10188, 26211, 388715, 29946, 600215, 284705, 104898, 3133, 283043, 826, 111520, 30459, 937725, 74106, 414023, 10341, 25276, 381973, 30919, 584235, 278597, 97062, 3658, 241087, 687, 139686, 26284, 1149008, 75301, 425938, 10898, 27987, 398795, 55860, 658716, 282465, 116011, 2898, 242681, 693, 203626, 
59944, 1335133, 121475, 659602, 19485, 38251, 617850, 61332, 687982, 339797, 143797, 6855, 385628, 1822, 108977, 1363102, 340457, 37482, 322442, 3904, 15208, 340515, 13157, 300774, 263989, 46194, 2414, 257199, 507, 620726, 28129, 938460, 74181, 413616, 10192, 25226, 381858, 31035, 598257, 278741, 97051, 2814, 242402, 599, 103802, 50300, 1025910, 67892, 367872, 10132, 26483, 388384, 30191, 598579, 284781, 104943, 3530, 282859, 1011, 111735, 30493, 938003, 73866, 414081, 10371, 25329, 382145, 30994, 579798, 278732, 97674, 2728, 241039, 569, 139745, 26336, 1149008, 75274, 425807, 10905, 28157, 398173, 55938, 650609, 282520, 115299, 2912, 243790, 776, 201604, 
60219, 1335082, 121483, 658728, 19812, 38494, 617539, 61801, 689839, 339691, 143303, 6347, 385711, 1889, 109540, 1360361, 340440, 37801, 322358, 3992, 15285, 340498, 13089, 300819, 263903, 46046, 2399, 257286, 503, 618461, 28390, 938443, 74616, 413377, 10248, 25366, 381921, 31147, 599702, 278623, 97203, 2780, 241208, 507, 103488, 50485, 1025910, 68443, 369800, 10440, 26385, 389112, 30434, 606484, 284679, 104190, 3304, 283779, 923, 111445, 30460, 938003, 74175, 413955, 10178, 25375, 382125, 30770, 576741, 278604, 97023, 2784, 240091, 601, 139490, 26529, 1149008, 75174, 426440, 10932, 28049, 399175, 56234, 646409, 282438, 115162, 3122, 242486, 754, 200736, 
60537, 1335297, 123050, 658379, 19782, 38719, 617141, 63551, 703868, 339933, 142995, 6339, 385926, 1743, 106172, 1359827, 340456, 37381, 322552, 3925, 15335, 340514, 12802, 300219, 263981, 46329, 2609, 257349, 522, 621871, 28369, 938459, 74581, 414035, 10197, 25586, 382068, 31210, 604795, 278724, 101866, 2793, 243055, 579, 103821, 51061, 1025910, 68951, 367798, 10442, 26560, 387996, 30209, 600503, 284861, 104020, 3113, 283063, 894, 114633, 30219, 938003, 74409, 414611, 10186, 25274, 382390, 30857, 587790, 278691, 101814, 2849, 241746, 592, 141187, 26791, 1149008, 75733, 426593, 10836, 28191, 398223, 55970, 651516, 282461, 115470, 2879, 243428, 741, 201163, 
59198, 1335259, 118315, 658871, 19160, 37943, 618040, 60356, 679161, 339840, 141717, 7176, 385711, 1779, 107084, 1344942, 340423, 37692, 322497, 3917, 15245, 340481, 12739, 297127, 264042, 45774, 2427, 257228, 514, 615782, 28000, 938426, 74732, 414168, 10192, 25127, 381929, 30841, 589783, 278755, 96272, 2743, 241913, 564, 102261, 50577, 1025910, 68234, 367957, 10251, 26074, 388322, 29776, 598681, 284923, 103674, 3131, 283178, 899, 110278, 30413, 938003, 74549, 414092, 10244, 25162, 382216, 30564, 575043, 278745, 96269, 2713, 240843, 563, 138278, 26750, 1149008, 74505, 425984, 10789, 27745, 398197, 55264, 642040, 282644, 113762, 2841, 243227, 738, 199304, 
59584, 1335082, 120363, 658469, 19575, 38115, 617043, 60946, 681604, 339572, 141542, 6294, 385495, 1717, 105135, 1351988, 340430, 37124, 322564, 3896, 14967, 340488, 12749, 297064, 263896, 45804, 2465, 257069, 508, 613482, 27734, 938433, 74183, 413843, 10153, 25094, 381973, 30625, 593494, 278647, 96253, 2954, 243136, 569, 101875, 50524, 1025910, 67798, 367589, 10251, 26061, 388329, 29970, 596544, 284764, 103915, 3107, 283308, 884, 110390, 30511, 938003, 74533, 414172, 10271, 25182, 382088, 30761, 573510, 278641, 96415, 2777, 241571, 580, 137569, 26988, 1149008, 75109, 426448, 10751, 27683, 398131, 55164, 641120, 282507, 113897, 2974, 243096, 762, 199073, 
59393, 1335092, 120931, 659176, 19547, 37698, 617092, 60693, 678770, 339781, 140051, 6218, 385597, 1709, 104224, 1345323, 340437, 37216, 322647, 3837, 14890, 340495, 12604, 295057, 263984, 45332, 2375, 257062, 498, 616058, 27599, 938440, 73359, 414002, 10068, 24901, 382047, 30421, 587394, 278687, 95351, 2690, 242194, 543, 101417, 50013, 1025910, 67504, 368061, 10068, 25856, 388219, 29655, 592396, 284833, 102750, 3108, 282996, 869, 109830, 30604, 938003, 73944, 414206, 10117, 24945, 382138, 30359, 570425, 278686, 95382, 2703, 240895, 573, 136710, 26198, 1149008, 74421, 426683, 10760, 27573, 398229, 54869, 635860, 282598, 113024, 2882, 242688, 782, 198179, 
59489, 1335127, 119870, 659364, 19309, 37696, 617518, 60940, 678006, 339737, 140213, 6256, 385784, 1734, 104164, 1329664, 340464, 36783, 322497, 3862, 12544, 340522, 12619, 293610, 263915, 45286, 2387, 257134, 521, 616049, 27617, 938467, 74006, 413615, 10013, 24913, 382020, 30352, 590336, 278717, 95622, 2740, 242005, 558, 101252, 49840, 1025910, 67381, 367763, 10073, 25846, 388072, 29808, 590896, 284788, 102924, 3108, 282940, 868, 110021, 30277, 938003, 73518, 413915, 10099, 25001, 382315, 30458, 570948, 278693, 95513, 2700, 240623, 602, 136937, 26333, 1149008, 74955, 426014, 10650, 27535, 398816, 54906, 635190, 282538, 112973, 2801, 242492, 733, 198085, 
59147, 1335255, 119593, 658719, 19524, 37710, 617154, 60571, 676714, 339691, 139941, 6205, 385822, 1723, 104231, 1336994, 341262, 37068, 323584, 3849, 15017, 341320, 12610, 295921, 263952, 45432, 2364, 258266, 523, 609207, 28078, 938456, 73638, 413615, 9994, 24943, 382091, 30500, 588181, 278683, 95401, 2720, 242183, 569, 101608, 50148, 1025910, 67134, 367854, 10132, 25807, 388033, 29644, 593296, 285012, 102912, 3226, 283036, 910, 110213, 30596, 938003, 73585, 414231, 10034, 24896, 382237, 30670, 569601, 278660, 95261, 2704, 240242, 575, 137105, 26222, 1149008, 75066, 426361, 10660, 27548, 398281, 54939, 636600, 282890, 112960, 2903, 242648, 751, 197528, 
60227, 1335152, 120744, 658523, 19285, 38110, 617900, 61080, 686782, 339931, 145390, 6209, 385567, 1747, 114528, 1351644, 341422, 38413, 323478, 4071, 15564, 341480, 12888, 301512, 264004, 46810, 2543, 258429, 585, 613719, 27822, 938425, 73959, 413834, 10253, 27464, 382093, 31016, 591351, 278673, 96573, 2846, 242240, 570, 102962, 50678, 1025910, 67809, 367343, 10172, 26123, 388018, 30051, 600147, 284855, 103732, 3195, 283028, 899, 110606, 29991, 938003, 74283, 414239, 10299, 25087, 382307, 30626, 578464, 278654, 99052, 2846, 242240, 588, 143093, 26072, 1149008, 75003, 426240, 10700, 27774, 398112, 55068, 640205, 282495, 114147, 3921, 242982, 959, 199967, 
