json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), snappy #(micros), snappy len(bytes), snappy !(micros), zlib #(micros), zlib len(bytes), zlib !(micros), zstd #(micros), zstd len(bytes), zstd !(micros), cbor de(micros),pickle ser(micros), pickle len(bytes), lz4 #(micros), lz4 len(bytes), lz4 !(micros), snappy #(micros), snappy len(bytes), snappy !(micros), zlib #(micros), zlib len(bytes), zlib !(micros), zstd #(micros), zstd len(bytes), zstd !(micros), pickle de(micros),
5879, 83676, 5476, 19581, 2580, 1971, 19690, 4012, 28951, 9925, 8469, 234, 7396, 84, 8068, 89802, 29937, 4064, 17396, 2065, 1206, 16861, 1154, 21976, 10726, 3734, 182, 10103, 53, 41654, 3504, 68621, 5501, 18753, 2367, 1562, 20094, 3544, 31293, 13809, 7248, 217, 11188, 70, 8206, 7425, 83910, 6579, 24400, 2659, 2577, 27031, 3720, 37434, 15464, 8991, 391, 13491, 111, 9738, 3773, 69725, 5646, 19032, 2362, 1782, 20458, 3591, 31752, 13732, 7283, 228, 11191, 105, 11349, 3185, 91008, 6119, 22952, 2518, 2460, 23341, 3681, 35379, 12516, 9005, 239, 10038, 85, 21050, 
5583, 84778, 5412, 19685, 2442, 1869, 20159, 3531, 27556, 9822, 7980, 201, 7234, 72, 7465, 80915, 30000, 3982, 17203, 1992, 1147, 16894, 1107, 21308, 10701, 3623, 176, 9768, 52, 40965, 3400, 69003, 5447, 18549, 2273, 1535, 20044, 3424, 29675, 13525, 6925, 242, 9835, 69, 8129, 6957, 83910, 6489, 24415, 2529, 2082, 26370, 3566, 35072, 15554, 8328, 224, 13432, 74, 9386, 3342, 70003, 5402, 18595, 2276, 1625, 20192, 3417, 29239, 13458, 6966, 179, 9799, 58, 10637, 3062, 91008, 5795, 22876, 2395, 2005, 23237, 3501, 33457, 12557, 8619, 181, 10028, 61, 20252, 
6364, 84785, 5790, 19680, 2576, 1966, 20061, 3957, 27925, 9885, 8263, 222, 7187, 80, 7926, 81322, 30000, 4255, 17345, 3258, 2024, 16926, 1840, 23509, 10687, 3756, 187, 9818, 55, 41692, 3438, 69003, 5596, 18569, 2356, 1577, 20037, 3513, 30465, 13561, 7159, 252, 9823, 76, 8231, 7192, 83910, 6508, 24411, 2576, 2140, 26394, 3708, 36189, 15522, 8622, 236, 13558, 80, 9559, 3387, 70003, 5492, 18629, 2429, 1657, 20189, 3449, 30057, 13504, 7325, 208, 9785, 65, 10827, 3189, 91008, 5806, 22966, 2490, 2054, 23286, 3581, 34345, 12516, 11869, 208, 10007, 66, 20592, 
5678, 84780, 5495, 19664, 2485, 1909, 19847, 3588, 27801, 9840, 8181, 216, 7077, 85, 7678, 81019, 30000, 3975, 17612, 2036, 1177, 16843, 1130, 22052, 10703, 3742, 188, 9770, 56, 42062, 3626, 69003, 5490, 18573, 2365, 1570, 20040, 3723, 31286, 13517, 7281, 185, 9834, 63, 8591, 7160, 83910, 6628, 24386, 2640, 2154, 26441, 3639, 36410, 15512, 8554, 224, 13435, 78, 9704, 3494, 70003, 5515, 18672, 2327, 1664, 20245, 3547, 30762, 13465, 7405, 195, 9798, 76, 10823, 3110, 91008, 5949, 23016, 2483, 2151, 23282, 4024, 34050, 12532, 9109, 214, 10026, 70, 20771, 
5674, 84781, 5401, 19702, 2557, 1967, 19917, 3789, 28037, 9867, 8411, 195, 7139, 73, 7602, 80131, 30000, 4099, 17468, 1995, 1151, 16831, 1118, 21564, 10701, 3659, 255, 9802, 66, 40982, 3426, 69003, 5707, 18596, 2343, 1544, 20044, 3439, 31071, 13552, 6953, 178, 9837, 60, 8099, 7015, 83910, 6436, 24294, 2629, 2115, 26476, 3544, 35863, 15556, 8463, 229, 13587, 80, 9474, 3356, 70003, 5413, 18659, 2280, 1633, 20192, 3494, 29557, 13498, 7028, 242, 9800, 80, 10684, 3015, 91008, 5876, 23057, 2418, 2008, 23278, 3515, 33130, 12553, 8652, 184, 10033, 63, 20209, 
5600, 84778, 5392, 19642, 2438, 1869, 20224, 3553, 27622, 9867, 8067, 192, 7216, 74, 7556, 80345, 30000, 3978, 17461, 1990, 1159, 16899, 1112, 21216, 10694, 3649, 254, 9934, 64, 41014, 3363, 69003, 5414, 18549, 2296, 1536, 19993, 3432, 29746, 13589, 7044, 241, 9847, 69, 8111, 6938, 83910, 6475, 24446, 2550, 2090, 26510, 3555, 35177, 15575, 8368, 227, 13530, 75, 9432, 3300, 70003, 5487, 18852, 2303, 1632, 20089, 3421, 29444, 13531, 7037, 181, 9818, 60, 10763, 3025, 91008, 5900, 22978, 2405, 2020, 23276, 3529, 33193, 12582, 8692, 181, 10044, 62, 20323, 
5563, 84778, 5384, 19824, 2429, 1877, 20235, 3552, 27600, 9871, 7987, 189, 7287, 72, 7499, 79914, 30000, 3958, 17520, 1974, 1154, 16868, 1099, 21487, 10697, 3629, 234, 9765, 57, 40939, 3395, 69003, 5419, 18483, 2289, 1533, 20073, 3394, 29533, 13561, 6939, 237, 9813, 66, 8078, 6956, 83910, 6473, 24484, 2563, 2092, 26536, 3572, 34802, 15579, 8330, 236, 13542, 83, 9457, 3304, 70003, 5436, 18634, 2285, 1627, 20165, 3420, 29157, 13507, 6999, 181, 9775, 59, 10717, 3048, 91008, 5861, 22901, 2398, 2015, 23242, 3533, 33142, 12562, 8658, 185, 9991, 64, 20150, 
5705, 84784, 5491, 19734, 2538, 1974, 19935, 3643, 28547, 9884, 8402, 202, 7229, 86, 7805, 80729, 30000, 3995, 17582, 2153, 1196, 16877, 1137, 21745, 10710, 3758, 182, 9818, 54, 41761, 3470, 69003, 5556, 18442, 2346, 1573, 20022, 3577, 30751, 13586, 7300, 216, 9900, 70, 8310, 7317, 83910, 6597, 24402, 2620, 2197, 26481, 3754, 35974, 15575, 8714, 270, 13425, 96, 9756, 3499, 70003, 5615, 18686, 2495, 1681, 20158, 3493, 30273, 13525, 7294, 211, 9860, 84, 11080, 3188, 91008, 6103, 23006, 2501, 2094, 23290, 3630, 34404, 12569, 9043, 218, 10076, 66, 20930, 
6126, 84781, 5376, 19745, 2526, 1947, 19872, 3905, 29164, 9882, 8829, 224, 7154, 76, 7961, 85645, 30809, 4368, 17734, 2221, 1243, 16883, 1212, 23043, 10743, 3980, 188, 10221, 56, 42723, 3640, 69003, 5654, 18478, 2356, 1621, 20022, 3743, 31420, 13543, 7298, 203, 9882, 69, 8527, 7396, 83910, 6724, 24473, 2671, 2260, 26359, 3710, 36946, 15490, 8798, 240, 13592, 80, 9794, 3514, 70003, 5664, 18641, 2362, 1707, 20160, 3583, 31098, 13487, 7441, 229, 9847, 74, 11186, 3265, 91008, 6089, 22927, 2512, 2104, 23204, 3810, 35527, 12524, 9151, 229, 10074, 78, 21277, 
5960, 84781, 5539, 19732, 2518, 1940, 19892, 3965, 28545, 9899, 8652, 255, 7130, 78, 8051, 82364, 31000, 4553, 17397, 2385, 1231, 16832, 1149, 25165, 10720, 5080, 301, 9960, 78, 42565, 3551, 69003, 5560, 18489, 2459, 1788, 20070, 3546, 31526, 13524, 7463, 227, 9889, 66, 8325, 7611, 83910, 6792, 24411, 2776, 2396, 26339, 4126, 36464, 15517, 8930, 254, 13608, 89, 10486, 3811, 70003, 5619, 18668, 2469, 1908, 20180, 3549, 31331, 13466, 7630, 290, 9860, 104, 14717, 3188, 91008, 6038, 23087, 2482, 2317, 23199, 3683, 34957, 12503, 9366, 226, 10093, 74, 20972, 
