json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), protoref ser(micros), protoref len(bytes), protoref & lz4 #(micros), protoref & lz4 len(bytes), protoref & lz4 !(micros), protoref & snappy #(micros), protoref & snappy len(bytes), protoref & snappy !(micros), protoref & zlib #(micros), protoref & zlib len(bytes), protoref & zlib !(micros), protoref & zstd #(micros), protoref & zstd len(bytes), protoref & zstd !(micros), protoref de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros), capnproto ser(micros), capnproto len(bytes), capnproto & lz4 #(micros), capnproto & lz4 len(bytes), capnproto & lz4 !(micros), capnproto & snappy #(micros), capnproto & snappy len(bytes), capnproto & snappy !(micros), capnproto & zlib #(micros), capnproto & zlib len(bytes), capnproto & zlib !(micros), capnproto & zstd #(micros), capnproto & zstd len(bytes), capnproto & zstd !(micros), capnproto de(micros),
13652, 269975, 32158, 175234, 5560, 9260, 163932, 15359, 186323, 95370, 31449, 1968, 96450, 398, 28362, 8437, 92873, 11277, 90975, 2792, 4481, 92899, 3211, 62756, 78880, 12867, 988, 81346, 130, 16939, 262034, 92873, 11118, 90980, 2809, 4492, 92899, 3217, 62094, 78881, 12886, 1030, 81354, 152, 127377, 8143, 151621, 19309, 97404, 4235, 5975, 102905, 7362, 132632, 82514, 18311, 885, 72622, 137, 27093, 13888, 166910, 19308, 97386, 4297, 5912, 102297, 7324, 128736, 84625, 19764, 950, 77904, 160, 29163, 8477, 152725, 19275, 97434, 4195, 5901, 103071, 7287, 133278, 82453, 18452, 842, 72692, 124, 36011, 7359, 202008, 21768, 110906, 4602, 6621, 109767, 7637, 150353, 83261, 22494, 850, 72899, 131, 55944, 7003, 88048, 11544, 81575, 2875, 3640, 88074, 3187, 55463, 74887, 11920, 733, 72666, 120, 15315, 
13117, 271111, 31937, 175312, 5534, 10017, 164171, 15214, 186879, 95487, 31278, 1693, 96385, 324, 27692, 8328, 93000, 11818, 90941, 2814, 4319, 93026, 3213, 62392, 79005, 12892, 798, 81523, 123, 16886, 258839, 93000, 11741, 90947, 2809, 4479, 93026, 3220, 62423, 79007, 12853, 881, 81496, 142, 129448, 8189, 152003, 19413, 97511, 4185, 5922, 102981, 7238, 131328, 82585, 18322, 863, 72826, 124, 27244, 13847, 166910, 19100, 97555, 4292, 5914, 101986, 7271, 127446, 84784, 19639, 1022, 77857, 156, 29241, 8479, 153003, 19351, 97486, 4195, 5949, 102922, 7269, 132019, 82455, 18408, 856, 72854, 119, 36181, 7367, 202008, 21557, 111107, 4623, 6631, 109766, 7571, 149198, 83285, 22488, 895, 72998, 198, 55719, 6936, 88048, 11546, 81545, 2845, 3631, 88074, 3203, 53852, 74946, 11844, 713, 72553, 107, 15263, 
13348, 271087, 31434, 175258, 5496, 9405, 164088, 15193, 186326, 95375, 31339, 1675, 96609, 318, 27854, 8341, 93000, 11438, 91031, 2804, 4519, 93026, 3201, 62406, 78958, 12873, 811, 81504, 125, 16968, 258254, 93000, 11600, 91031, 2814, 4506, 93026, 3221, 62459, 78999, 12893, 808, 81483, 125, 129113, 8243, 152003, 19066, 97502, 4223, 5976, 103014, 7273, 131567, 82569, 18319, 843, 72949, 121, 27232, 13971, 166910, 19029, 97567, 4323, 5918, 101921, 7284, 126512, 84727, 19712, 979, 77913, 161, 29332, 8635, 153003, 19116, 97627, 4231, 5978, 103024, 7276, 132858, 82447, 18389, 869, 72907, 132, 36161, 7450, 202008, 21488, 110794, 4616, 6687, 109714, 7583, 149385, 83259, 22489, 941, 73019, 135, 55756, 7033, 88048, 11401, 81590, 2834, 3615, 88074, 3209, 53429, 74899, 11853, 725, 72691, 127, 15245, 
12975, 271085, 31489, 175452, 5524, 9393, 164019, 15143, 186377, 95436, 31259, 1774, 96454, 319, 27677, 8368, 93000, 11470, 91036, 2795, 4499, 93026, 3221, 62681, 78870, 12832, 888, 81490, 128, 16879, 259931, 93000, 11624, 91019, 2801, 4499, 93026, 3217, 62689, 78888, 12930, 803, 81466, 131, 128787, 8213, 152003, 19261, 97402, 4198, 5925, 102890, 7243, 131323, 82541, 18229, 848, 72757, 120, 27190, 13841, 166910, 19050, 97498, 4320, 5880, 101781, 7261, 126500, 84658, 19621, 911, 77786, 161, 29286, 8619, 153003, 19190, 97378, 4197, 5933, 102836, 7269, 132061, 82420, 18265, 866, 72814, 126, 36206, 7402, 202008, 21678, 110938, 4596, 6621, 109660, 7523, 148399, 83161, 22356, 954, 73086, 144, 55941, 7022, 88048, 11406, 81593, 2853, 3589, 88074, 3198, 53774, 74873, 11851, 760, 72485, 119, 15343, 
13314, 271037, 31553, 175770, 5516, 9429, 163820, 15233, 186594, 95382, 31245, 1675, 96424, 337, 27950, 8328, 93000, 11527, 90999, 2801, 4462, 93026, 3215, 62178, 79000, 12870, 868, 81469, 124, 16892, 261044, 93000, 11557, 91007, 2793, 4417, 93026, 3216, 62573, 79003, 12834, 800, 81459, 124, 129481, 8183, 152003, 19156, 97485, 4210, 5937, 103022, 7267, 131922, 82560, 18630, 862, 72888, 123, 28045, 14267, 166910, 19350, 97516, 4297, 6144, 101831, 7450, 129787, 84743, 20278, 940, 77850, 165, 30265, 8867, 153003, 19352, 97383, 4209, 6095, 102951, 7427, 132671, 82444, 18411, 856, 73116, 127, 36243, 7453, 202008, 21646, 111020, 4728, 6726, 109627, 7595, 147278, 83274, 22428, 854, 73079, 130, 55911, 6971, 88048, 11385, 81560, 2860, 3596, 88074, 3207, 53385, 74915, 11880, 804, 72569, 121, 15257, 
13360, 271103, 31597, 175359, 5547, 9417, 164134, 15282, 186256, 95481, 31076, 1669, 96580, 363, 27698, 8594, 93000, 11729, 91001, 2840, 4515, 93026, 3202, 61928, 78971, 12853, 860, 81515, 138, 16851, 259512, 93000, 11693, 91026, 2787, 4576, 93026, 3210, 61826, 78984, 12822, 825, 81528, 141, 129330, 8059, 152003, 19022, 97546, 4184, 5911, 102973, 7256, 131402, 82613, 18204, 846, 72940, 133, 27164, 13801, 166910, 19188, 97385, 4305, 5882, 101604, 7340, 126058, 84735, 19645, 931, 77907, 173, 29224, 8527, 153003, 19012, 97479, 4272, 5958, 103138, 7268, 131790, 82506, 18299, 854, 73018, 132, 36067, 7364, 202008, 21617, 110790, 4635, 6659, 109727, 7529, 148104, 83283, 22356, 855, 73249, 136, 55824, 7015, 88048, 11399, 81548, 2860, 3584, 88074, 3222, 53578, 74914, 11827, 723, 72545, 108, 15263, 
13172, 271061, 31723, 175765, 5505, 9359, 164416, 15177, 186240, 95353, 31218, 1729, 96534, 315, 27681, 8364, 93000, 11592, 90942, 2803, 4506, 93026, 3196, 62451, 78960, 12843, 875, 81475, 143, 16760, 258818, 93000, 11533, 90955, 2801, 4984, 93026, 5590, 61635, 78971, 12912, 873, 81451, 123, 128778, 8191, 152003, 19189, 97569, 4215, 5945, 103109, 7300, 131535, 82645, 18343, 855, 73133, 123, 27242, 14057, 166910, 19385, 97461, 4340, 5932, 101767, 7276, 126005, 84717, 19788, 1015, 77967, 163, 29298, 8973, 153003, 19714, 97503, 4250, 5977, 103080, 7281, 132395, 82530, 18356, 861, 73115, 128, 36313, 7398, 202008, 21704, 111039, 4613, 6680, 109787, 7562, 148730, 83282, 22506, 855, 72914, 130, 55910, 7065, 88048, 11573, 81582, 2847, 3608, 88074, 3201, 53672, 74916, 11840, 717, 72571, 111, 15328, 
13191, 271005, 31588, 175608, 5532, 9392, 164150, 15220, 186983, 95324, 31425, 1792, 96359, 324, 27795, 8354, 93000, 11449, 91023, 2820, 4519, 93026, 3202, 62326, 78891, 12936, 797, 81406, 121, 16810, 257502, 93000, 11481, 91022, 2802, 4535, 93026, 3218, 62400, 78912, 12925, 799, 81406, 129, 127260, 8191, 152003, 19128, 97440, 4239, 5927, 102970, 7273, 131091, 82550, 18205, 848, 72827, 124, 27247, 13851, 166910, 19114, 97508, 4282, 5945, 101868, 7279, 126891, 84713, 19742, 911, 77886, 164, 29448, 8525, 153003, 19275, 97506, 4199, 5954, 102982, 7333, 132158, 82428, 18393, 886, 72876, 136, 36249, 7419, 202008, 21565, 110969, 4626, 6624, 109722, 7535, 148720, 83238, 22432, 866, 73054, 130, 55862, 6948, 88048, 11523, 81572, 2845, 3614, 88074, 3226, 53429, 74880, 11859, 721, 72747, 112, 15413, 
13483, 271035, 31862, 175647, 5541, 9369, 164148, 15210, 186304, 95500, 31235, 1787, 96558, 314, 27765, 8298, 93000, 11576, 90979, 2796, 4499, 93026, 3209, 62507, 78971, 12808, 894, 81370, 133, 16918, 259789, 93000, 11722, 90987, 2801, 4493, 93026, 3197, 62893, 78989, 12837, 887, 81361, 125, 129074, 8215, 152003, 19009, 97477, 4184, 5902, 102931, 7232, 130737, 82557, 18186, 852, 73127, 129, 27113, 14017, 166910, 19090, 97534, 4300, 5917, 101893, 7278, 127578, 84560, 19682, 1111, 77870, 188, 29250, 8449, 153003, 19316, 97523, 4181, 5895, 102999, 7271, 132307, 82436, 18454, 861, 73122, 126, 36120, 7390, 202008, 21632, 111000, 4578, 6629, 109848, 7536, 149118, 83287, 22452, 956, 73169, 132, 56061, 6989, 88048, 11489, 81557, 2884, 3605, 88074, 3197, 54352, 74898, 11824, 719, 72574, 110, 15374, 
13602, 271015, 32387, 175662, 5833, 9404, 163907, 15320, 188624, 95416, 31413, 1689, 96453, 328, 28018, 8368, 93000, 11615, 91013, 2802, 4561, 93026, 3225, 62645, 78961, 13262, 812, 81539, 123, 17107, 259025, 93000, 11596, 90998, 2836, 4551, 93026, 3261, 62956, 78964, 13029, 801, 81537, 129, 130243, 8328, 152003, 19379, 97395, 4230, 5985, 102973, 7299, 136081, 82584, 18641, 1015, 72981, 155, 27588, 14232, 166910, 19104, 97518, 4376, 6919, 101938, 11436, 135708, 84726, 20122, 936, 77874, 163, 29927, 8733, 153003, 19471, 97473, 4216, 6157, 102946, 7655, 132434, 82477, 18742, 865, 72978, 122, 36668, 7438, 202008, 21503, 111066, 4618, 6635, 109650, 7564, 149243, 83285, 22551, 932, 72931, 133, 56052, 6968, 88048, 11544, 81564, 2862, 3612, 88074, 3223, 54065, 74927, 11886, 723, 72675, 113, 15251, 
