json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros),
9987, 210037, 20930, 104857, 4327, 6596, 103038, 8142, 119791, 58505, 25902, 1172, 59109, 229, 18824, 178106, 59873, 6011, 59610, 2530, 3011, 59891, 1670, 56201, 47783, 8288, 540, 50680, 94, 88855, 6729, 138621, 13848, 67340, 3510, 4225, 67119, 7124, 96635, 51293, 15547, 660, 44310, 134, 18583, 11596, 159910, 13600, 65351, 3671, 4661, 70404, 7166, 102371, 53671, 17191, 633, 50213, 134, 21095, 6217, 139725, 13850, 67352, 3512, 4406, 67227, 7505, 95783, 51388, 15539, 673, 44715, 122, 25001, 5661, 179008, 14641, 71517, 4001, 4703, 69300, 7238, 102569, 51562, 18690, 540, 43986, 107, 39981, 
10511, 211068, 20923, 104963, 4367, 6508, 103182, 8184, 119349, 58557, 23561, 1046, 59326, 232, 18740, 178799, 60000, 5996, 59817, 2540, 2991, 60018, 1668, 53878, 47893, 9731, 529, 50784, 87, 87443, 6601, 139003, 13727, 67332, 3535, 4237, 67168, 7209, 99250, 51315, 15201, 542, 44300, 103, 18598, 11494, 159910, 13622, 65200, 3662, 4816, 69849, 7203, 103039, 53650, 17413, 689, 50371, 158, 21179, 6184, 140003, 13918, 67320, 3499, 4455, 67160, 7143, 94441, 51491, 15442, 576, 44432, 108, 25012, 5743, 179008, 14481, 71556, 3888, 4683, 69225, 7345, 102616, 51522, 18625, 606, 43938, 118, 39801, 
10303, 211084, 20071, 105082, 4344, 6537, 103542, 8285, 120094, 58601, 23262, 1046, 59261, 221, 18841, 177808, 60000, 5855, 59806, 2497, 3007, 60018, 1677, 54474, 47901, 8350, 534, 50665, 101, 88509, 6516, 139003, 13992, 67494, 3533, 4251, 67160, 7141, 97254, 51352, 15300, 544, 44364, 98, 18627, 11673, 159910, 13696, 65171, 3665, 4640, 69864, 7395, 102152, 53676, 17180, 618, 50490, 136, 21004, 6205, 140003, 13931, 67255, 3523, 4582, 67251, 7184, 94621, 51550, 15426, 564, 44419, 104, 25168, 5561, 179008, 14409, 71518, 3956, 4736, 69272, 7294, 102782, 51561, 18708, 572, 44031, 118, 40166, 
10977, 211072, 20530, 104899, 4474, 6742, 103056, 8391, 123585, 58616, 24038, 1087, 59383, 253, 19212, 179844, 60000, 6049, 59782, 2623, 3004, 60018, 1694, 55447, 47846, 8621, 517, 50633, 87, 91072, 6879, 139003, 14612, 67263, 4213, 4352, 67220, 7707, 102645, 51296, 16627, 647, 44267, 151, 21025, 12134, 159910, 13848, 65174, 3696, 5119, 69845, 9154, 106989, 53656, 17492, 615, 50482, 136, 21189, 6413, 140003, 14135, 67298, 3661, 4475, 67188, 7193, 96581, 51474, 15519, 571, 44440, 107, 25340, 5507, 179008, 14533, 71396, 3943, 4814, 69361, 7331, 103458, 51531, 18728, 554, 43828, 120, 40507, 
9943, 211110, 19704, 105188, 4296, 6494, 103169, 8039, 119268, 58533, 22799, 1031, 59353, 218, 18590, 176505, 60000, 5643, 59830, 2509, 2970, 60018, 1653, 53515, 47841, 8242, 504, 50695, 86, 87949, 6279, 139003, 13746, 67285, 3522, 4211, 67232, 7097, 96007, 51341, 15115, 541, 44334, 100, 18562, 11685, 159910, 13538, 65107, 3802, 4799, 69774, 7314, 99968, 53623, 17005, 591, 50414, 143, 20792, 6167, 140003, 13669, 67250, 3493, 4385, 67168, 7028, 93735, 51524, 15168, 550, 44392, 99, 24685, 5421, 179008, 14469, 71556, 3816, 4673, 69403, 7181, 101429, 51556, 18404, 538, 43922, 109, 39689, 
10234, 211091, 19997, 104965, 4333, 6484, 103264, 8111, 119196, 58613, 22818, 1028, 59346, 218, 18681, 175665, 60000, 5719, 59798, 2468, 2966, 60018, 1661, 54038, 47891, 8250, 515, 50487, 90, 88669, 6380, 139003, 13939, 67254, 3482, 4218, 67192, 7072, 96387, 51275, 15153, 625, 44311, 102, 18473, 11423, 159910, 13545, 65197, 3642, 4581, 69869, 7085, 100826, 53684, 17036, 654, 50402, 142, 20810, 6319, 140003, 13835, 67207, 3478, 4380, 67137, 7053, 94362, 51474, 15215, 538, 44503, 106, 24695, 5535, 179008, 14272, 71471, 3838, 4654, 69274, 7207, 101073, 51523, 18419, 534, 44020, 108, 39852, 
10021, 211001, 19722, 105167, 4265, 6483, 103524, 8055, 121343, 58618, 22749, 1056, 59248, 242, 18686, 176844, 60000, 5705, 59784, 2448, 2936, 60018, 1644, 53402, 47876, 8211, 509, 50684, 84, 88683, 6241, 139003, 13933, 67452, 3491, 4196, 67181, 6999, 95516, 51311, 15049, 619, 44230, 118, 18500, 11435, 159910, 13489, 65144, 3619, 4566, 69784, 7097, 100642, 53647, 16939, 656, 50368, 146, 20600, 6188, 140003, 13834, 67284, 3437, 4364, 67173, 6981, 93660, 51503, 15099, 595, 44507, 100, 24625, 5461, 179008, 14381, 71510, 3813, 4636, 69400, 7163, 100747, 51542, 18290, 531, 44028, 111, 39533, 
10231, 211154, 20055, 104871, 4289, 6525, 103459, 8124, 118726, 58625, 22694, 1084, 59316, 216, 18547, 177487, 60000, 5811, 59771, 2471, 2845, 60018, 1641, 53515, 47891, 8206, 528, 50387, 90, 89168, 6270, 139003, 13772, 67261, 3492, 4197, 67168, 6964, 95582, 51275, 15016, 539, 44379, 98, 18438, 11434, 159910, 13414, 65054, 3617, 4571, 69968, 7061, 100212, 53668, 16946, 657, 50538, 148, 20617, 6202, 140003, 13690, 67150, 3476, 4366, 67121, 6997, 93273, 51459, 15199, 598, 44520, 101, 24576, 5461, 179008, 14283, 71513, 3823, 4626, 69358, 7162, 100162, 51490, 18289, 528, 44081, 112, 39556, 
9972, 211078, 19653, 105036, 4265, 6462, 103457, 8024, 118235, 58544, 22701, 1024, 59181, 216, 18543, 175725, 60000, 5819, 59802, 2461, 2955, 60018, 1635, 53684, 47853, 8213, 511, 50388, 97, 88671, 6346, 139003, 13766, 67251, 3474, 4195, 67139, 7016, 95667, 51239, 14997, 608, 44195, 109, 18528, 11386, 159910, 13503, 65116, 3573, 4605, 69826, 7080, 100914, 53655, 16966, 655, 50331, 129, 20578, 6192, 140003, 13805, 67142, 3454, 4359, 67069, 7042, 93123, 51428, 15093, 531, 44363, 99, 24561, 5475, 179008, 14173, 71390, 3795, 4625, 69201, 7167, 100884, 51476, 18257, 531, 43933, 107, 39476, 
10596, 211036, 20038, 104946, 4412, 6528, 103393, 8151, 119261, 58498, 23013, 1110, 59271, 264, 18778, 176146, 60000, 5829, 59750, 2508, 2967, 60018, 1653, 53886, 47854, 8352, 511, 50768, 85, 88817, 6513, 139003, 13851, 67235, 3517, 4281, 67086, 7090, 96353, 51283, 15093, 548, 44125, 107, 18565, 11429, 159910, 13480, 65004, 3703, 4625, 69714, 7095, 100901, 53670, 17090, 598, 50237, 130, 20676, 6310, 140003, 13939, 67192, 3505, 4385, 67061, 7075, 94283, 51462, 15294, 614, 44352, 117, 24913, 5562, 179008, 14658, 71621, 3882, 4753, 69270, 7342, 104081, 51514, 18678, 660, 43879, 143, 40806, 
