json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros),
18387, 203864, 9539, 40807, 2871, 4048, 45041, 7264, 61283, 25043, 19358, 412, 22546, 134, 20028, 212266, 68937, 6102, 27020, 2068, 1880, 26016, 3306, 20597, 20585, 7358, 247, 20688, 63, 105742, 7362, 155621, 7440, 28780, 2630, 3176, 33867, 6907, 60622, 22681, 14929, 501, 18876, 114, 20958, 13192, 202910, 8879, 33626, 2903, 3679, 38997, 7196, 69729, 25623, 19064, 337, 21965, 107, 24952, 7250, 156725, 7517, 28749, 2648, 3181, 33965, 6938, 60776, 22584, 14957, 311, 18818, 113, 30186, 6894, 218008, 7934, 29949, 2660, 3804, 38709, 7085, 69527, 22772, 20049, 321, 19148, 122, 52353, 
12356, 204970, 9267, 40843, 2743, 4086, 44978, 7142, 61238, 25089, 19005, 411, 22672, 125, 19780, 212176, 69000, 5913, 27131, 2013, 1862, 26071, 3274, 20452, 20689, 7209, 298, 20763, 66, 104788, 7170, 156003, 7447, 28681, 2516, 3042, 33850, 6794, 58150, 22708, 14577, 295, 19134, 87, 20820, 13025, 202910, 8603, 33056, 2751, 3575, 38667, 7019, 68436, 25614, 18679, 394, 22050, 103, 24283, 7063, 157003, 7399, 28700, 2541, 3051, 33847, 6791, 59314, 22587, 14681, 292, 18936, 100, 29612, 6699, 218008, 7803, 29874, 2555, 3729, 38658, 7005, 67818, 22715, 19661, 304, 19138, 109, 48329, 
12693, 204966, 9419, 40708, 2778, 4128, 45008, 7226, 61646, 25000, 19311, 434, 22597, 134, 20006, 212921, 69000, 6010, 27064, 2037, 1895, 26054, 3305, 20784, 20636, 7408, 277, 20811, 62, 105393, 7482, 156003, 7517, 28748, 2572, 3099, 33944, 6896, 59438, 22751, 14983, 315, 19089, 94, 20947, 13479, 202910, 8618, 33008, 2797, 3627, 38636, 7108, 70390, 25634, 19212, 381, 21951, 116, 25671, 7526, 157003, 7795, 28759, 2577, 3256, 33952, 7404, 62356, 22634, 14974, 331, 19090, 100, 30594, 10715, 218008, 7918, 29905, 2607, 3793, 38679, 7179, 68266, 22739, 20739, 365, 19200, 122, 53518, 
12676, 204979, 9504, 40874, 2795, 4157, 44816, 7396, 61873, 25016, 19640, 429, 22503, 145, 20222, 214957, 69000, 6042, 27141, 2120, 1907, 26053, 3342, 20892, 20621, 7445, 284, 20536, 68, 106491, 7472, 156003, 7613, 28732, 2663, 3152, 33949, 6985, 60205, 22712, 15076, 315, 19100, 99, 21183, 13485, 202910, 8756, 33061, 2821, 3668, 38641, 7197, 69889, 25616, 19137, 346, 21979, 109, 24826, 7304, 157003, 7592, 28740, 2663, 3161, 33928, 6959, 61208, 22591, 15215, 377, 19099, 110, 30187, 6844, 218008, 7950, 29918, 2631, 3820, 38719, 7166, 69416, 22719, 20202, 346, 19236, 131, 50184, 
12329, 204947, 9270, 40757, 2713, 4087, 45033, 7126, 60775, 25014, 19024, 412, 22490, 127, 19799, 209666, 69000, 5945, 27080, 2005, 1858, 26076, 3266, 20467, 20630, 7212, 310, 20686, 72, 105118, 7235, 156003, 7457, 28761, 2539, 3106, 33938, 6780, 58690, 22727, 14595, 301, 19173, 82, 20873, 12957, 202910, 8585, 32941, 2814, 3587, 38647, 6975, 68136, 25610, 18630, 402, 21985, 110, 24436, 7230, 157003, 7462, 28755, 2535, 3049, 33923, 6748, 59905, 22609, 14711, 357, 19145, 106, 29708, 6773, 218008, 7856, 29905, 2532, 3729, 38658, 7058, 67878, 22709, 19818, 305, 19276, 100, 48614, 
12421, 204995, 9373, 40835, 2734, 4090, 44980, 7151, 61399, 25029, 19200, 414, 22737, 129, 19801, 214123, 69000, 6024, 27086, 2026, 1872, 26091, 3254, 20668, 20684, 7259, 310, 20525, 70, 105775, 7180, 156003, 7470, 28722, 2539, 3053, 33880, 6809, 58351, 22767, 14649, 298, 19158, 81, 20842, 12971, 202910, 8651, 33109, 2770, 3584, 38619, 7045, 68271, 25649, 18799, 357, 22027, 108, 24460, 7049, 157003, 7450, 28739, 2551, 3054, 33890, 6781, 59569, 22648, 14726, 295, 19155, 86, 29560, 6731, 218008, 7821, 29921, 2525, 3745, 38683, 7054, 67548, 22774, 19779, 312, 19281, 99, 48510, 
12357, 204973, 9242, 40840, 2727, 4073, 44770, 7122, 60854, 24999, 19068, 410, 22663, 126, 19810, 212495, 69000, 5934, 27112, 2007, 1865, 26074, 3257, 20451, 20679, 7229, 302, 20792, 68, 104048, 7202, 156003, 7473, 28744, 2535, 3053, 33920, 6773, 58324, 22757, 14633, 355, 19126, 90, 20843, 12928, 202910, 8476, 32936, 2749, 3587, 38709, 7018, 67979, 25651, 18700, 333, 22117, 98, 24288, 7044, 157003, 7461, 28766, 2554, 3054, 33906, 6836, 59614, 22642, 14722, 287, 19125, 79, 29662, 6824, 218008, 7809, 29912, 2537, 3732, 38664, 7031, 67185, 22786, 19703, 297, 19210, 98, 48525, 
12853, 204990, 9491, 40790, 2793, 4197, 45057, 7415, 63980, 24992, 19625, 452, 22655, 150, 20567, 225762, 69000, 6078, 27076, 2059, 1928, 26083, 3350, 21125, 20672, 7492, 249, 20484, 62, 107104, 7406, 156003, 7748, 28765, 2606, 3140, 33957, 7114, 60549, 22782, 15165, 374, 19110, 98, 21549, 13191, 202910, 8875, 33044, 2832, 3789, 38668, 7235, 69974, 25657, 19367, 353, 21938, 110, 25119, 7348, 157003, 7564, 28762, 2622, 3128, 33951, 7152, 62016, 22658, 15351, 307, 19119, 88, 30647, 7066, 218008, 8165, 29912, 2610, 4012, 38695, 7220, 69247, 22791, 20522, 312, 19200, 109, 50044, 
18319, 204955, 9639, 40811, 2862, 4341, 44990, 7485, 63455, 24986, 20598, 563, 22502, 221, 20952, 221869, 69809, 6357, 27931, 2350, 2088, 26385, 3424, 23092, 20524, 7860, 265, 21052, 70, 110362, 7600, 156003, 7901, 28722, 2667, 3164, 33920, 7141, 62129, 22689, 15585, 353, 19052, 118, 23059, 14862, 202910, 9006, 33019, 2898, 4172, 38708, 7574, 73036, 25620, 20320, 362, 21882, 118, 25453, 7481, 157003, 7794, 28732, 2886, 3212, 33927, 7477, 63504, 22570, 16043, 340, 19046, 102, 32259, 7699, 218008, 8535, 29898, 2865, 4319, 38674, 7516, 72208, 22750, 21066, 357, 19130, 121, 53099, 
12658, 204984, 9474, 40743, 2808, 4362, 44933, 7509, 62314, 25025, 19787, 414, 22454, 138, 20406, 213188, 70000, 6278, 28103, 2161, 2068, 26478, 3529, 22638, 20455, 7738, 259, 21167, 63, 106755, 7606, 156003, 7546, 28633, 2648, 3171, 33895, 6972, 61059, 22662, 15338, 310, 18965, 105, 21524, 13763, 202910, 9043, 33007, 2836, 3674, 38703, 7550, 71497, 25594, 19575, 390, 22110, 187, 25115, 7529, 157003, 7510, 28677, 2592, 3164, 33883, 7240, 61931, 22537, 15544, 388, 18961, 151, 31136, 6826, 218008, 7935, 29895, 2695, 4158, 38651, 7387, 70508, 22718, 20646, 397, 19176, 164, 50757, 
