json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), protoref ser(micros), protoref len(bytes), protoref & lz4 #(micros), protoref & lz4 len(bytes), protoref & lz4 !(micros), protoref & snappy #(micros), protoref & snappy len(bytes), protoref & snappy !(micros), protoref & zlib #(micros), protoref & zlib len(bytes), protoref & zlib !(micros), protoref & zstd #(micros), protoref & zstd len(bytes), protoref & zstd !(micros), protoref de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros), capnproto ser(micros), capnproto len(bytes), capnproto & lz4 #(micros), capnproto & lz4 len(bytes), capnproto & lz4 !(micros), capnproto & snappy #(micros), capnproto & snappy len(bytes), capnproto & snappy !(micros), capnproto & zlib #(micros), capnproto & zlib len(bytes), capnproto & zlib !(micros), capnproto & zstd #(micros), capnproto & zstd len(bytes), capnproto & zstd !(micros), capnproto de(micros),
5769, 133270, 13530, 66056, 3656, 3851, 61706, 7241, 66547, 34877, 14165, 771, 36509, 151, 10389, 3624, 33976, 4650, 32278, 2010, 1662, 33994, 1595, 21809, 26582, 4699, 302, 25941, 65, 1726, 134631, 33976, 4617, 32290, 2003, 1674, 33994, 1579, 21714, 26579, 4715, 443, 25955, 66, 61361, 2742, 93642, 9082, 41615, 2640, 2730, 38477, 3675, 48583, 28197, 9706, 363, 23680, 79, 10159, 4884, 102510, 8458, 37242, 2574, 2787, 39236, 3601, 48341, 28932, 10473, 377, 27698, 100, 10910, 2988, 93679, 9022, 41508, 2643, 2717, 38528, 3639, 47865, 28197, 9697, 286, 23636, 71, 13848, 2646, 114906, 9230, 42733, 2646, 2873, 40266, 3727, 54010, 28647, 11490, 326, 23854, 71, 19940, 3092, 31248, 3996, 27677, 1955, 1462, 31266, 844, 17161, 24952, 4247, 320, 24098, 58, 6263, 
5953, 133333, 14062, 66311, 3697, 3867, 62083, 7238, 66553, 34759, 14137, 650, 36516, 153, 10319, 3625, 34050, 4610, 32308, 2000, 1689, 34068, 1577, 21803, 26594, 4715, 274, 26033, 64, 1675, 134208, 34050, 4557, 32300, 2023, 1671, 34068, 1583, 21845, 26591, 4692, 322, 26026, 65, 61557, 2738, 93726, 9115, 41441, 2668, 2712, 38450, 3637, 47743, 28220, 9674, 307, 23915, 62, 10091, 4879, 102510, 8519, 37184, 2589, 2825, 39178, 3609, 48209, 28947, 10553, 336, 27789, 89, 10860, 3009, 93702, 9080, 41570, 2699, 2886, 38454, 3661, 47909, 28213, 9702, 309, 23786, 64, 13817, 2652, 114906, 9191, 42602, 2633, 2885, 40300, 3760, 53119, 28674, 11482, 315, 23922, 61, 19956, 3096, 31248, 3929, 27645, 1957, 1253, 31266, 848, 17254, 24945, 4232, 252, 24086, 48, 6214, 
5827, 133394, 13795, 66166, 3662, 3814, 61992, 7206, 65988, 34752, 14099, 643, 36381, 152, 10387, 3573, 34042, 4647, 32306, 2002, 1670, 34060, 1601, 21668, 26613, 4710, 293, 25994, 71, 1722, 134695, 34042, 4631, 32313, 2011, 1678, 34060, 1586, 21744, 26620, 4717, 292, 25976, 67, 61230, 2774, 93790, 9118, 41545, 2655, 2714, 38503, 3672, 47875, 28210, 9734, 374, 23891, 67, 10160, 4823, 102510, 8477, 37115, 2595, 2791, 39046, 3590, 48156, 28920, 10488, 340, 27850, 89, 10864, 3002, 93747, 9153, 41642, 2661, 2727, 38501, 3655, 47799, 28201, 9726, 356, 23735, 63, 13850, 2638, 114906, 9171, 42826, 2648, 2886, 40142, 3762, 53003, 28634, 11627, 310, 23925, 59, 19938, 3100, 31248, 3968, 27624, 1942, 1220, 31266, 857, 17237, 24969, 4220, 245, 24097, 48, 6217, 
5985, 133403, 14066, 66148, 3669, 3902, 62041, 7308, 66859, 34779, 14156, 641, 36350, 155, 10403, 3631, 34054, 4608, 32322, 2007, 1685, 34072, 1584, 21592, 26574, 4701, 278, 26084, 64, 1686, 134317, 34054, 4537, 32346, 2012, 1671, 34072, 1602, 21816, 26581, 4726, 310, 26098, 74, 61252, 2727, 93857, 9039, 41649, 2659, 2713, 38442, 3655, 47918, 28221, 9727, 289, 23834, 57, 10056, 4839, 102510, 8363, 36926, 2572, 2795, 39041, 3564, 48210, 28929, 10479, 419, 27846, 88, 10877, 3008, 93802, 9033, 41559, 2645, 2719, 38444, 3674, 47696, 28218, 9722, 303, 23717, 57, 13892, 2675, 114906, 9255, 42654, 2659, 2881, 39927, 3737, 53111, 28653, 11513, 297, 24015, 61, 19929, 3104, 31248, 3914, 27627, 1942, 1214, 31266, 840, 17259, 24966, 4258, 244, 24078, 47, 6220, 
5833, 133454, 13604, 66230, 3616, 3826, 62009, 7208, 66598, 34810, 14182, 638, 36511, 154, 10374, 3583, 34047, 4624, 32333, 2020, 1652, 34065, 1597, 21710, 26578, 4691, 276, 25901, 64, 1682, 134565, 34047, 4602, 32331, 2003, 1654, 34065, 1576, 21557, 26576, 4699, 291, 25897, 66, 60806, 2727, 93850, 9160, 41514, 2662, 2721, 38471, 3659, 47668, 28206, 9706, 311, 23839, 62, 10092, 4857, 102510, 8399, 36715, 2620, 2841, 38983, 3593, 47963, 28908, 10468, 349, 27764, 91, 10874, 2991, 93802, 9101, 41612, 2645, 2710, 38508, 3652, 47623, 28195, 9757, 290, 23658, 62, 13779, 2607, 114906, 9209, 42772, 2627, 2848, 39962, 3718, 53045, 28650, 11449, 300, 23987, 66, 20140, 3088, 31248, 3928, 27603, 1952, 1224, 31266, 847, 17258, 24921, 4247, 251, 24120, 49, 6232, 
5976, 133475, 13837, 66362, 3696, 3890, 62099, 7243, 66662, 34758, 14182, 654, 36548, 153, 10322, 3559, 34039, 4635, 32293, 2002, 1671, 34057, 1590, 21782, 26560, 4740, 276, 25961, 63, 1686, 133632, 34039, 4579, 32285, 2008, 1687, 34057, 1582, 21801, 26565, 4731, 273, 25967, 63, 60922, 2739, 93842, 9084, 41511, 2666, 2732, 38525, 3723, 47479, 28196, 9686, 298, 23765, 62, 10069, 4854, 102510, 8410, 36735, 2558, 2774, 39026, 3565, 47937, 28891, 10496, 415, 27624, 93, 10894, 2958, 93802, 9104, 41505, 2669, 2729, 38493, 3674, 47692, 28188, 9744, 289, 23650, 62, 13786, 2663, 114906, 9316, 42515, 2634, 2855, 39978, 3804, 52347, 28638, 11472, 291, 23913, 65, 19966, 3050, 31248, 3919, 27640, 1967, 1217, 31266, 847, 16914, 24954, 4273, 242, 24084, 49, 6287, 
5841, 133408, 13644, 66045, 3625, 3828, 62083, 7173, 66428, 34772, 14183, 638, 36608, 152, 10342, 3600, 34041, 4619, 32314, 2009, 1672, 34059, 1579, 21686, 26612, 4697, 277, 26025, 64, 1692, 134618, 34041, 4636, 32320, 2012, 1671, 34059, 1575, 21780, 26608, 4713, 273, 26044, 63, 61543, 2741, 93844, 9085, 41539, 2663, 2717, 38521, 3657, 48205, 28195, 9713, 351, 23746, 72, 10115, 4860, 102510, 8292, 36840, 2565, 2783, 38995, 3570, 47603, 28943, 10497, 329, 27637, 92, 10863, 3008, 93802, 9162, 41577, 2651, 2720, 38497, 3651, 47439, 28187, 9728, 288, 23576, 61, 13747, 2634, 114906, 9207, 42731, 2640, 2849, 39991, 3752, 52766, 28647, 11440, 294, 23883, 65, 19994, 3076, 31248, 3938, 27646, 1951, 1223, 31266, 850, 16925, 24974, 4256, 240, 24104, 50, 6230, 
5961, 133447, 13836, 66193, 3644, 3893, 62134, 7275, 66717, 34835, 14133, 634, 36441, 148, 10356, 3591, 34048, 4609, 32322, 2001, 1680, 34066, 1586, 21773, 26607, 4724, 272, 25915, 63, 1685, 134815, 34048, 4560, 32302, 1998, 1684, 34066, 1587, 21707, 26608, 4723, 277, 25925, 63, 60961, 2770, 93851, 9103, 41531, 2666, 2739, 38485, 3638, 47648, 28213, 9758, 290, 23734, 62, 10159, 4847, 102510, 8472, 36955, 2581, 2772, 39119, 3600, 47490, 28906, 10481, 410, 27825, 88, 10852, 3011, 93802, 9133, 41576, 2668, 2717, 38484, 3623, 47746, 28203, 9734, 330, 23591, 63, 13791, 2659, 114906, 9263, 42650, 2650, 2893, 40013, 3747, 52523, 28643, 11461, 303, 23893, 62, 19991, 3128, 31248, 3986, 27671, 1938, 1219, 31266, 845, 16856, 24969, 4230, 236, 24116, 47, 6319, 
5871, 133405, 13745, 66156, 3663, 3855, 61951, 7251, 66391, 34777, 14123, 622, 36534, 155, 10359, 3589, 34045, 4574, 32363, 2012, 1669, 34063, 1593, 21738, 26616, 4715, 273, 25965, 63, 1699, 135746, 34045, 4607, 32362, 2017, 1672, 34063, 1582, 21669, 26613, 4700, 276, 25956, 63, 60971, 2759, 93848, 9201, 41668, 2653, 2724, 38542, 3648, 47893, 28236, 9777, 290, 23662, 62, 10129, 4890, 102510, 8390, 36968, 2558, 2772, 38979, 3590, 48326, 28953, 10481, 332, 27700, 91, 10809, 2994, 93802, 9114, 41619, 2643, 2721, 38537, 3650, 47587, 28229, 9705, 296, 23578, 65, 13800, 2651, 114906, 9285, 42717, 2626, 2863, 39950, 3728, 52504, 28669, 11448, 299, 23836, 62, 19941, 3111, 31248, 3937, 27652, 1933, 1227, 31266, 845, 16971, 24955, 4250, 244, 24083, 50, 6231, 
5934, 133462, 14035, 66267, 3682, 3909, 62091, 7280, 66636, 34777, 14161, 642, 36462, 158, 10370, 3635, 34038, 4660, 32317, 2004, 1675, 34056, 1579, 21613, 26608, 4722, 339, 26021, 71, 1691, 133675, 34038, 4608, 32325, 2002, 1674, 34056, 1588, 21693, 26612, 4722, 288, 25973, 72, 61404, 2768, 93841, 9062, 41516, 2658, 2733, 38533, 3646, 47756, 28236, 9712, 292, 23795, 72, 10107, 4879, 102510, 8471, 37001, 2571, 2792, 38981, 3583, 47786, 28942, 10510, 420, 27634, 96, 10886, 2991, 93802, 9154, 41547, 2661, 2719, 38484, 3640, 47590, 28229, 9766, 292, 23738, 57, 13770, 2697, 114906, 9218, 42678, 2658, 2895, 40007, 3720, 53223, 28686, 11477, 372, 23933, 59, 20007, 3100, 31248, 3967, 27646, 1938, 1234, 31266, 849, 17064, 25002, 4245, 281, 24142, 56, 6214, 
