json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), snappy #(micros), snappy len(bytes), snappy !(micros), zlib #(micros), zlib len(bytes), zlib !(micros), zstd #(micros), zstd len(bytes), zstd !(micros), cbor de(micros),pickle ser(micros), pickle len(bytes), lz4 #(micros), lz4 len(bytes), lz4 !(micros), snappy #(micros), snappy len(bytes), snappy !(micros), zlib #(micros), zlib len(bytes), zlib !(micros), zstd #(micros), zstd len(bytes), zstd !(micros), pickle de(micros),
4064, 26910, 11385, 17816, 5821, 3528, 17049, 2165, 14599, 10069, 3293, 509, 9071, 78, 2885, 26959, 9200, 910, 9134, 1442, 704, 9218, 417, 4713, 7920, 1473, 295, 8078, 31, 13438, 817, 15003, 2178, 9800, 1649, 836, 10391, 520, 9595, 8274, 2055, 187, 7308, 33, 2789, 1405, 16610, 2231, 9971, 1659, 862, 10482, 903, 8946, 8660, 2160, 128, 7850, 29, 3060, 861, 15179, 2181, 9809, 1659, 848, 10479, 529, 9583, 8294, 2047, 158, 7319, 29, 3705, 771, 20206, 2576, 11276, 1745, 918, 11182, 926, 11923, 8423, 2443, 129, 7316, 28, 5657, 
1305, 27008, 3627, 17726, 1910, 1151, 16938, 1045, 14439, 10082, 3277, 218, 9039, 56, 2879, 27882, 9273, 1160, 9160, 1449, 466, 9291, 420, 4687, 7981, 1467, 133, 8175, 29, 14495, 828, 15076, 2188, 9786, 1652, 857, 10394, 520, 9530, 8282, 2009, 128, 7264, 26, 2769, 1397, 16610, 2195, 9938, 1658, 866, 10514, 891, 9055, 8645, 2167, 133, 7821, 39, 3038, 858, 15202, 2171, 9793, 1657, 868, 10478, 552, 9608, 8281, 2029, 128, 7248, 26, 3689, 756, 20206, 2559, 11255, 1734, 908, 11189, 925, 13028, 8409, 2450, 131, 7306, 28, 5643, 
1341, 27019, 3760, 17809, 1931, 1168, 16940, 1062, 14322, 10066, 3287, 205, 9003, 47, 2822, 26980, 9300, 1176, 9178, 1460, 719, 9318, 414, 4684, 7991, 1464, 115, 8198, 28, 13899, 849, 15148, 2206, 9775, 1655, 858, 10429, 531, 9448, 8292, 2010, 144, 7238, 26, 2766, 1425, 16610, 2191, 9936, 1659, 842, 10347, 895, 8893, 8641, 2170, 141, 7807, 28, 3094, 871, 15247, 2219, 9791, 1668, 857, 10508, 534, 9557, 8305, 2036, 132, 7240, 26, 3704, 773, 20206, 2541, 11242, 1752, 900, 11190, 922, 11929, 8429, 2482, 153, 7291, 30, 5696, 
1361, 27017, 4875, 17853, 1937, 1159, 17059, 1071, 14498, 10109, 3294, 196, 9041, 48, 2853, 26909, 9300, 1116, 9203, 1445, 643, 9318, 425, 4738, 8001, 1466, 127, 8173, 33, 13493, 829, 15203, 2198, 9797, 1671, 855, 10445, 565, 9522, 8296, 2019, 139, 7190, 26, 2780, 1423, 16610, 2223, 9962, 1660, 850, 10310, 893, 8862, 8652, 2183, 140, 7801, 29, 3027, 879, 15302, 2426, 9780, 2404, 863, 10471, 526, 9578, 8289, 2016, 136, 7194, 27, 3728, 772, 20206, 2563, 11264, 1743, 910, 11209, 925, 11884, 8425, 2502, 152, 7274, 31, 5752, 
1373, 26989, 3788, 17798, 1919, 1163, 16874, 1075, 14536, 10076, 3291, 276, 9060, 70, 3853, 27193, 9300, 1269, 9140, 1475, 721, 9318, 415, 4813, 7986, 1464, 158, 8170, 44, 14427, 849, 15203, 2191, 9817, 1654, 847, 10472, 521, 9494, 8276, 2031, 137, 7223, 26, 2784, 1404, 16610, 2211, 9991, 1660, 835, 10248, 884, 8902, 8641, 2209, 139, 7771, 30, 3070, 864, 15302, 2185, 9809, 1650, 849, 10485, 537, 9492, 8270, 2008, 130, 7226, 25, 3656, 763, 20206, 2563, 11248, 1746, 906, 11194, 925, 11954, 8405, 2463, 136, 7280, 28, 5649, 
3968, 27015, 3672, 17697, 1906, 1198, 16982, 1078, 14557, 10060, 3269, 201, 8987, 48, 2928, 27277, 9300, 1208, 9154, 1474, 721, 9318, 415, 4742, 7997, 1455, 130, 8189, 41, 13761, 836, 15203, 2199, 9838, 1647, 848, 10472, 533, 9510, 8298, 2020, 149, 7217, 31, 2772, 1430, 16610, 2232, 9909, 1671, 840, 10213, 889, 10048, 8650, 2185, 142, 7781, 30, 3074, 1083, 15302, 2234, 9835, 1659, 864, 10495, 527, 9632, 8295, 2036, 136, 7220, 26, 3686, 758, 20206, 2556, 11255, 1776, 911, 11219, 1271, 13092, 8423, 2448, 138, 7273, 28, 5771, 
1415, 26991, 3775, 17773, 1943, 1175, 16870, 1053, 14583, 10053, 3287, 195, 8999, 47, 2816, 27306, 9300, 1238, 9165, 1455, 720, 9318, 414, 4772, 7994, 1477, 126, 8191, 29, 13464, 827, 15203, 2172, 9778, 1644, 854, 10457, 518, 9400, 8280, 2106, 150, 7262, 30, 2872, 1429, 16610, 2204, 9903, 1664, 839, 10276, 887, 8850, 8632, 2194, 137, 7785, 27, 3033, 868, 15302, 2476, 9795, 2564, 957, 10457, 559, 9505, 8275, 2107, 152, 7266, 32, 3726, 768, 20206, 2609, 11239, 1763, 919, 11169, 959, 11904, 8408, 2524, 182, 7316, 34, 5821, 
2984, 27031, 3732, 17799, 1906, 1177, 17047, 1059, 14562, 10102, 3327, 198, 9010, 49, 2855, 27362, 9300, 1296, 9140, 1489, 721, 9318, 414, 4742, 8009, 1506, 136, 8182, 37, 13663, 840, 15203, 2204, 9790, 1657, 865, 10506, 525, 9514, 8317, 2045, 165, 7297, 34, 2809, 1444, 16610, 2229, 9930, 1671, 851, 10272, 892, 8795, 8661, 2206, 139, 7824, 29, 3107, 892, 15302, 2204, 9790, 1664, 865, 10502, 523, 9588, 8312, 2059, 138, 7299, 28, 3736, 780, 20206, 2620, 11273, 1778, 913, 11212, 926, 11906, 8441, 2492, 143, 7332, 30, 5688, 
3948, 27023, 3680, 17790, 1918, 1162, 16965, 1051, 14472, 10092, 3318, 195, 9040, 49, 2877, 27245, 9300, 1312, 9144, 1481, 723, 9318, 422, 4809, 8002, 1477, 121, 8161, 30, 13365, 840, 15203, 2217, 9822, 1655, 858, 10468, 537, 9554, 8282, 2031, 135, 7258, 26, 2801, 1494, 16610, 2258, 9919, 1709, 855, 10246, 902, 8807, 8671, 2211, 138, 7766, 30, 3077, 878, 15302, 2192, 9779, 1665, 867, 10476, 534, 9633, 8274, 2054, 134, 7262, 26, 3716, 776, 20206, 2577, 11314, 1770, 925, 11189, 948, 12026, 8422, 2460, 135, 7320, 29, 5704, 
1402, 27018, 3845, 17807, 1968, 1170, 16990, 1079, 14606, 10094, 3312, 196, 9045, 53, 2882, 27006, 9300, 1301, 9137, 1473, 735, 9318, 419, 4835, 7992, 1469, 116, 8171, 29, 13528, 840, 15203, 2182, 9775, 1770, 901, 10457, 571, 9546, 8295, 2037, 140, 7282, 27, 2815, 1453, 16610, 2219, 9957, 1680, 844, 10264, 893, 8749, 8658, 2178, 139, 7837, 31, 3145, 873, 15302, 2203, 9767, 1683, 898, 10445, 539, 9563, 8288, 2058, 134, 7286, 26, 3724, 755, 20206, 2566, 11254, 1766, 908, 11174, 921, 12025, 8423, 2487, 143, 7358, 29, 5842, 
