json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), snappy #(micros), snappy len(bytes), snappy !(micros), zlib #(micros), zlib len(bytes), zlib !(micros), zstd #(micros), zstd len(bytes), zstd !(micros), cbor de(micros),pickle ser(micros), pickle len(bytes), lz4 #(micros), lz4 len(bytes), lz4 !(micros), snappy #(micros), snappy len(bytes), snappy !(micros), zlib #(micros), zlib len(bytes), zlib !(micros), zstd #(micros), zstd len(bytes), zstd !(micros), pickle de(micros),
3237, 18965, 853, 1723, 1364, 524, 2052, 852, 3657, 868, 1825, 102, 979, 30, 2697, 28345, 5209, 444, 1394, 1336, 286, 1316, 245, 1674, 813, 701, 88, 1008, 23, 14628, 880, 14175, 719, 1563, 1366, 510, 1891, 468, 3143, 944, 1458, 88, 1020, 21, 2847, 1776, 20282, 1044, 2327, 1408, 565, 2932, 865, 4717, 1299, 1990, 107, 1477, 30, 3632, 922, 14351, 749, 1569, 1372, 508, 1908, 466, 3189, 951, 1473, 92, 1030, 24, 4181, 908, 22978, 1062, 2042, 1391, 566, 2506, 869, 4770, 1033, 2180, 85, 1207, 28, 6672, 
1481, 19081, 880, 1741, 1359, 523, 2136, 850, 3489, 857, 1804, 104, 967, 33, 2688, 28968, 5280, 436, 1384, 1327, 275, 1331, 249, 1738, 843, 698, 90, 1013, 23, 14525, 902, 14256, 745, 1550, 1529, 507, 1891, 471, 3260, 982, 1457, 92, 1046, 21, 2848, 1768, 20290, 1042, 2366, 1434, 564, 2916, 868, 4810, 1311, 1996, 96, 1457, 30, 3418, 906, 14382, 713, 1550, 1360, 497, 1877, 470, 3296, 964, 1465, 86, 984, 20, 4254, 906, 22986, 1061, 2004, 1479, 574, 2470, 891, 5003, 1037, 2199, 165, 1170, 38, 6745, 
3638, 19059, 879, 1779, 1362, 536, 2109, 843, 3472, 863, 1868, 108, 998, 31, 2724, 28929, 5258, 438, 1373, 1338, 274, 1324, 243, 1634, 819, 719, 86, 987, 22, 14313, 891, 14306, 752, 1547, 1385, 516, 1894, 477, 3272, 964, 1502, 92, 1016, 21, 2945, 1820, 20268, 1034, 2292, 1418, 568, 2796, 891, 4659, 1314, 2018, 99, 1416, 28, 3429, 934, 14405, 760, 1555, 1401, 506, 1888, 493, 3327, 961, 1517, 88, 1009, 21, 4248, 901, 22964, 1036, 2043, 1399, 561, 2487, 876, 4755, 1042, 2237, 98, 1215, 35, 6736, 
3256, 19074, 843, 1631, 1356, 533, 2017, 875, 3412, 837, 1813, 85, 883, 26, 2699, 28870, 5273, 456, 1341, 1338, 278, 1282, 241, 1616, 814, 699, 88, 970, 22, 14399, 899, 14376, 725, 1457, 1348, 513, 1808, 517, 3191, 937, 1477, 96, 913, 21, 2923, 1859, 20283, 977, 2029, 1388, 550, 2559, 869, 4560, 1288, 1984, 90, 1308, 27, 3443, 921, 14475, 695, 1458, 1400, 499, 1815, 465, 3199, 934, 1479, 97, 912, 20, 4258, 907, 22979, 995, 1828, 1390, 562, 2389, 954, 4596, 1007, 2196, 99, 1097, 23, 6736, 
3931, 19073, 934, 1760, 1387, 524, 2081, 837, 3430, 844, 1801, 89, 1028, 28, 2656, 29426, 5272, 477, 1432, 1350, 282, 1373, 250, 1647, 841, 718, 98, 1017, 24, 14468, 894, 14375, 707, 1467, 1344, 492, 1814, 466, 3145, 951, 1474, 79, 969, 20, 2861, 1794, 20282, 1003, 2193, 1400, 554, 2635, 861, 4846, 1322, 2048, 104, 1406, 30, 3430, 932, 14474, 709, 1461, 1354, 494, 1823, 472, 3151, 949, 1483, 81, 968, 20, 4183, 896, 22978, 1006, 1910, 1397, 567, 2409, 869, 4550, 1026, 2187, 75, 1174, 21, 6770, 
3247, 19075, 853, 1699, 1358, 527, 2070, 867, 3407, 848, 1795, 85, 880, 27, 2736, 29025, 5274, 426, 1310, 1331, 277, 1254, 236, 1559, 806, 696, 90, 959, 23, 14498, 1517, 14377, 1073, 1452, 1384, 501, 1787, 466, 3149, 950, 1481, 92, 950, 20, 2873, 1783, 20284, 1011, 2091, 1413, 548, 2571, 858, 4359, 1306, 2010, 90, 1316, 28, 3407, 927, 14476, 696, 1446, 1340, 492, 1795, 473, 3283, 946, 1506, 96, 947, 21, 4601, 908, 22980, 1019, 1826, 1378, 560, 2388, 866, 4656, 1016, 2182, 96, 1136, 23, 6725, 
1421, 19089, 849, 1699, 1370, 521, 2082, 842, 3480, 844, 1796, 146, 918, 34, 2839, 29275, 5288, 422, 1335, 1327, 270, 1294, 241, 1640, 805, 709, 97, 954, 27, 14483, 878, 14391, 699, 1455, 1338, 493, 1818, 469, 3140, 933, 1477, 88, 919, 19, 3039, 1823, 20298, 1005, 2171, 1415, 547, 2623, 859, 4377, 1307, 1997, 94, 1320, 28, 3411, 916, 14490, 695, 1451, 1412, 508, 1824, 473, 3227, 934, 1503, 94, 916, 20, 4187, 892, 22994, 1041, 1883, 1382, 563, 2420, 868, 4628, 1012, 2352, 109, 1137, 27, 6735, 
2453, 19065, 946, 1847, 1385, 528, 2139, 865, 3504, 858, 1829, 98, 965, 28, 2778, 29117, 5264, 582, 1403, 1374, 302, 1336, 250, 1895, 833, 771, 95, 1025, 26, 14492, 913, 14367, 748, 1562, 1365, 502, 1889, 469, 3239, 981, 1504, 94, 1002, 22, 2868, 1797, 20274, 1022, 2201, 1414, 575, 2720, 866, 4629, 1328, 2059, 104, 1400, 31, 3436, 911, 14466, 731, 1582, 1403, 504, 1893, 509, 3267, 978, 1512, 98, 1000, 21, 4215, 913, 22970, 1053, 1970, 1389, 555, 2432, 866, 4698, 1040, 2202, 100, 1217, 29, 6700, 
1540, 19072, 914, 1713, 1377, 560, 2042, 860, 3472, 842, 1814, 98, 909, 28, 2664, 28850, 5271, 441, 1388, 1329, 277, 1353, 244, 1657, 820, 695, 91, 968, 23, 14433, 881, 14374, 711, 1450, 1392, 494, 1827, 480, 3151, 949, 1492, 86, 933, 21, 2851, 1781, 20281, 985, 2136, 1397, 551, 2778, 861, 4792, 1289, 2020, 127, 1372, 38, 3489, 927, 14473, 709, 1460, 1351, 494, 1818, 472, 3195, 946, 1469, 78, 932, 19, 4273, 902, 22977, 1022, 1885, 1372, 547, 2409, 874, 4796, 1025, 2191, 97, 1107, 23, 6778, 
3506, 19063, 889, 1894, 1373, 527, 2130, 860, 3434, 878, 1808, 90, 997, 28, 2654, 29388, 5261, 449, 1426, 1338, 282, 1373, 243, 1606, 825, 695, 86, 1032, 23, 14278, 877, 14364, 725, 1595, 1351, 492, 1900, 478, 3176, 958, 1584, 104, 1050, 22, 2985, 1829, 20271, 1043, 2333, 1429, 564, 2843, 887, 4593, 1329, 1987, 94, 1454, 29, 3434, 921, 14463, 749, 1581, 1348, 520, 1912, 486, 3163, 958, 1487, 81, 1044, 19, 4149, 893, 22967, 1025, 2069, 1406, 586, 2482, 1332, 5512, 1047, 2222, 103, 1276, 32, 6703, 
1423, 19184, 917, 1768, 1444, 524, 2056, 850, 3441, 854, 1810, 87, 945, 26, 2676, 29044, 5283, 448, 1373, 1376, 274, 1321, 240, 1574, 822, 728, 89, 999, 24, 14293, 896, 14386, 712, 1515, 1348, 496, 1879, 465, 3125, 959, 1719, 121, 970, 24, 2950, 1794, 20293, 1016, 2231, 1412, 553, 2746, 869, 4541, 1303, 2098, 109, 1365, 30, 3421, 903, 14485, 709, 1514, 1341, 501, 1871, 475, 3120, 956, 1484, 83, 964, 21, 4189, 891, 22989, 1016, 1959, 1757, 803, 2444, 1060, 4679, 1018, 2170, 95, 1187, 28, 6863, 
2192, 19176, 878, 1787, 1368, 525, 2133, 848, 3456, 845, 1820, 90, 949, 26, 2681, 28639, 5275, 436, 1398, 1325, 273, 1318, 241, 1629, 806, 692, 83, 1000, 22, 14557, 895, 14378, 706, 1486, 1359, 494, 1846, 464, 3146, 947, 1466, 86, 997, 20, 2846, 1761, 20285, 1026, 2233, 1392, 562, 2901, 873, 4624, 1309, 1998, 93, 1426, 28, 3395, 918, 14477, 714, 1490, 1350, 492, 1830, 464, 3178, 945, 1483, 90, 994, 21, 4162, 959, 22981, 1584, 2024, 1677, 647, 2469, 937, 4691, 1027, 2186, 111, 1197, 29, 6714, 
