json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), snappy #(micros), snappy len(bytes), snappy !(micros), zlib #(micros), zlib len(bytes), zlib !(micros), zstd #(micros), zstd len(bytes), zstd !(micros), cbor de(micros),pickle ser(micros), pickle len(bytes), lz4 #(micros), lz4 len(bytes), lz4 !(micros), snappy #(micros), snappy len(bytes), snappy !(micros), zlib #(micros), zlib len(bytes), zlib !(micros), zstd #(micros), zstd len(bytes), zstd !(micros), pickle de(micros),
1464, 20294, 1329, 4255, 1487, 784, 4737, 1159, 5450, 2681, 2115, 124, 2234, 34, 2492, 28920, 6837, 774, 2710, 1400, 352, 2624, 257, 2159, 2183, 969, 99, 2068, 23, 11187, 769, 15403, 1043, 3043, 1448, 577, 3477, 506, 4615, 2437, 1691, 95, 1882, 22, 2143, 1351, 20210, 1343, 3945, 1481, 633, 4303, 884, 6843, 2804, 2146, 104, 2314, 30, 2545, 722, 15579, 1042, 3053, 1438, 571, 3549, 491, 4755, 2453, 1714, 112, 1904, 25, 3144, 715, 21806, 1210, 3162, 1464, 620, 4056, 879, 6338, 2526, 2224, 90, 1977, 22, 5053, 
1267, 20400, 1326, 4258, 1456, 648, 4684, 884, 5208, 2694, 2088, 105, 2214, 31, 2036, 22297, 6900, 663, 2756, 1341, 343, 2669, 241, 2070, 2201, 929, 91, 2134, 22, 10882, 742, 15476, 1024, 3045, 1407, 562, 3475, 484, 4596, 2435, 1694, 99, 1903, 21, 2251, 1556, 20210, 1354, 3826, 1645, 621, 4246, 879, 6743, 2785, 2099, 103, 2308, 23, 2533, 740, 15602, 1034, 3042, 1423, 571, 3558, 487, 4579, 2433, 1696, 86, 1890, 19, 3043, 706, 21806, 1237, 3160, 1643, 643, 4071, 896, 6396, 2526, 2230, 105, 1982, 24, 4951, 
1259, 20394, 1316, 4236, 1466, 642, 4696, 899, 5241, 2690, 2090, 113, 2246, 32, 2063, 21881, 6900, 667, 2772, 1377, 348, 2675, 236, 2076, 2193, 953, 86, 2089, 22, 11113, 764, 15548, 1038, 3050, 1438, 601, 3522, 489, 4635, 2423, 1707, 97, 1945, 20, 2159, 1364, 20210, 1296, 3764, 1491, 617, 4242, 881, 6678, 2797, 2130, 107, 2355, 34, 2521, 736, 15647, 1024, 3042, 1447, 571, 3572, 486, 4678, 2435, 1720, 106, 1948, 22, 3087, 701, 21806, 1197, 3163, 1431, 603, 4059, 931, 6245, 2522, 2229, 97, 2059, 22, 5001, 
1276, 20392, 1317, 4223, 1462, 645, 4681, 874, 5313, 2684, 2098, 107, 2227, 32, 2071, 22240, 6900, 671, 2769, 1358, 348, 2677, 241, 2096, 2218, 951, 99, 2117, 23, 11025, 765, 15603, 1034, 3045, 1437, 581, 3564, 492, 4630, 2436, 1704, 97, 1884, 20, 2173, 1592, 20210, 1269, 3585, 1641, 623, 4124, 878, 6687, 2802, 2158, 185, 2295, 31, 2534, 740, 15702, 1023, 3042, 1470, 576, 3561, 487, 4621, 2426, 1728, 91, 1889, 20, 3053, 701, 21806, 1184, 3159, 1436, 606, 4052, 876, 6246, 2511, 2389, 148, 1977, 36, 5052, 
1385, 20392, 1339, 4253, 1483, 641, 4697, 879, 5281, 2681, 2109, 163, 2192, 43, 2117, 22127, 6900, 672, 2764, 1345, 352, 2675, 273, 2105, 2205, 1143, 199, 2122, 27, 11263, 748, 15603, 1025, 3040, 1437, 571, 3541, 484, 4613, 2437, 1705, 91, 1923, 19, 2142, 1350, 20210, 1257, 3600, 1452, 612, 4121, 882, 6625, 2798, 2173, 119, 2340, 26, 2606, 743, 15702, 1033, 3033, 1430, 584, 3548, 490, 4648, 2426, 1707, 98, 1926, 21, 3074, 697, 21806, 1193, 3153, 1428, 609, 4048, 870, 6098, 2516, 2219, 70, 2010, 20, 4955, 
1262, 20395, 1331, 4284, 1452, 644, 4727, 877, 5329, 2688, 2077, 107, 2215, 32, 2051, 22504, 6900, 669, 2769, 1348, 345, 2678, 236, 2140, 2214, 932, 92, 2102, 22, 11037, 737, 15603, 1028, 3062, 1562, 586, 3566, 498, 4626, 2448, 1713, 100, 1887, 21, 2145, 1378, 20210, 1244, 3600, 1443, 609, 4134, 888, 6442, 2816, 2105, 101, 2302, 30, 2499, 732, 15702, 1018, 3057, 1421, 569, 3571, 491, 4612, 2441, 1696, 105, 1889, 19, 3067, 850, 21806, 1213, 3159, 1936, 993, 4056, 1443, 6022, 2524, 2230, 117, 1979, 23, 5011, 
1272, 20403, 1329, 4254, 1458, 637, 4677, 878, 5172, 2687, 2175, 126, 2257, 35, 2085, 22475, 6900, 674, 2769, 1342, 341, 2679, 238, 2090, 2207, 931, 89, 2106, 22, 11073, 747, 15603, 1026, 3046, 1441, 568, 3557, 485, 4693, 2440, 1812, 262, 1882, 47, 2202, 1370, 20210, 1252, 3574, 1443, 647, 4128, 886, 6610, 2812, 2121, 157, 2314, 30, 2590, 727, 15702, 1026, 3054, 1433, 570, 3562, 484, 4676, 2429, 1706, 104, 1885, 36, 3070, 717, 21806, 1192, 3161, 1425, 604, 4058, 886, 5946, 2521, 2209, 78, 1972, 19, 5060, 
1265, 20398, 1437, 4243, 1546, 651, 4712, 881, 5233, 2678, 2117, 116, 2216, 35, 2073, 22153, 6900, 664, 2768, 1337, 343, 2674, 237, 2082, 2208, 941, 88, 2105, 23, 11015, 752, 15603, 1032, 3057, 1432, 575, 3558, 486, 4631, 2436, 1701, 97, 1921, 21, 2132, 1345, 20210, 1251, 3621, 1452, 609, 4139, 874, 6330, 2815, 2101, 85, 2318, 22, 2478, 725, 15702, 1001, 3058, 1550, 572, 3566, 491, 4706, 2429, 1730, 106, 1922, 22, 3070, 701, 21806, 1189, 3157, 1427, 613, 4058, 874, 6004, 2521, 2209, 89, 2011, 21, 4957, 
1304, 20395, 1350, 4247, 1467, 647, 4713, 889, 5208, 2704, 2085, 113, 2225, 33, 2060, 22336, 6900, 653, 2769, 1366, 341, 2678, 238, 2098, 2204, 943, 96, 2104, 25, 10886, 737, 15603, 1025, 3048, 1428, 570, 3554, 485, 4776, 2425, 1717, 102, 1903, 21, 2151, 1364, 20210, 1248, 3613, 1492, 608, 4137, 886, 6381, 2811, 2160, 108, 2331, 24, 2542, 739, 15702, 1029, 3054, 1420, 579, 3556, 482, 4639, 2417, 1709, 103, 1906, 21, 3064, 711, 21806, 1212, 3166, 1432, 605, 4065, 994, 6125, 2514, 2222, 102, 1990, 24, 4980, 
1273, 20401, 1331, 4273, 1448, 638, 4730, 879, 5594, 2693, 2107, 165, 2211, 42, 2106, 21903, 6900, 668, 2767, 1344, 344, 2673, 238, 2093, 2205, 929, 86, 2110, 21, 10962, 745, 15603, 1024, 3051, 1432, 570, 3556, 488, 4590, 2434, 1695, 110, 1891, 28, 2184, 1353, 20210, 1291, 3586, 1565, 619, 4138, 905, 6458, 2818, 2132, 105, 2253, 25, 2539, 741, 15702, 1024, 3045, 1415, 567, 3557, 491, 4607, 2428, 1708, 81, 1894, 19, 3033, 707, 21806, 1207, 3164, 1431, 602, 4052, 875, 6100, 2513, 2230, 147, 1982, 30, 5247, 
