json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), protoref ser(micros), protoref len(bytes), protoref & lz4 #(micros), protoref & lz4 len(bytes), protoref & lz4 !(micros), protoref & snappy #(micros), protoref & snappy len(bytes), protoref & snappy !(micros), protoref & zlib #(micros), protoref & zlib len(bytes), protoref & zlib !(micros), protoref & zstd #(micros), protoref & zstd len(bytes), protoref & zstd !(micros), protoref de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros), capnproto ser(micros), capnproto len(bytes), capnproto & lz4 #(micros), capnproto & lz4 len(bytes), capnproto & lz4 !(micros), capnproto & snappy #(micros), capnproto & snappy len(bytes), capnproto & snappy !(micros), capnproto & zlib #(micros), capnproto & zlib len(bytes), capnproto & zlib !(micros), capnproto & zstd #(micros), capnproto & zstd len(bytes), capnproto & zstd !(micros), capnproto de(micros),
221, 821, 281, 291, 1830, 61, 301, 49, 379, 181, 251, 58, 184, 17, 106, 46, 290, 72, 229, 1250, 34, 221, 30, 286, 188, 212, 33, 199, 9, 59, 924, 290, 70, 282, 1242, 38, 264, 30, 312, 234, 221, 37, 235, 9, 474, 47, 671, 88, 309, 1261, 56, 336, 45, 383, 289, 255, 32, 241, 10, 98, 96, 840, 102, 382, 1256, 54, 427, 45, 445, 333, 277, 33, 291, 9, 124, 47, 681, 86, 310, 1253, 49, 335, 43, 385, 290, 254, 27, 242, 9, 124, 42, 916, 98, 347, 1252, 51, 374, 45, 437, 314, 285, 33, 266, 9, 252, 41, 352, 73, 300, 1244, 36, 301, 29, 352, 257, 224, 29, 262, 9, 57, 
160, 829, 205, 289, 3044, 157, 306, 139, 1100, 182, 749, 109, 189, 39, 280, 126, 290, 200, 241, 3818, 99, 230, 88, 879, 192, 632, 88, 212, 25, 173, 2750, 290, 210, 288, 3818, 108, 308, 78, 949, 242, 668, 96, 242, 26, 1423, 147, 671, 264, 305, 3835, 147, 338, 133, 1162, 294, 782, 77, 246, 27, 277, 299, 840, 319, 384, 3845, 164, 433, 138, 1403, 341, 845, 93, 299, 28, 356, 135, 681, 261, 306, 3892, 160, 342, 135, 1204, 296, 789, 81, 248, 27, 372, 124, 916, 298, 346, 3849, 155, 370, 134, 1340, 319, 869, 89, 272, 26, 737, 112, 352, 227, 305, 3826, 107, 305, 88, 1077, 262, 690, 93, 268, 26, 181, 
162, 829, 213, 296, 2882, 150, 318, 155, 850, 192, 560, 118, 193, 33, 222, 96, 290, 169, 241, 2931, 110, 238, 93, 893, 192, 640, 101, 217, 28, 196, 2724, 290, 216, 298, 3830, 109, 308, 78, 978, 254, 669, 94, 255, 26, 1414, 131, 671, 268, 315, 3852, 153, 347, 135, 1209, 299, 789, 94, 253, 28, 281, 229, 840, 226, 394, 3666, 165, 442, 136, 1401, 350, 862, 97, 306, 26, 360, 137, 688, 272, 318, 3865, 156, 358, 135, 1226, 301, 795, 105, 261, 31, 405, 125, 916, 310, 356, 3228, 181, 379, 142, 1375, 327, 856, 94, 279, 27, 743, 114, 352, 235, 314, 3587, 81, 311, 64, 1088, 271, 699, 95, 280, 26, 166, 
217, 828, 210, 297, 1565, 64, 318, 49, 389, 192, 250, 59, 189, 17, 100, 45, 290, 70, 244, 1247, 54, 242, 40, 304, 196, 214, 41, 225, 9, 62, 918, 290, 73, 299, 1256, 39, 308, 27, 325, 256, 257, 44, 260, 11, 485, 47, 671, 93, 317, 1304, 56, 349, 47, 400, 303, 271, 43, 255, 11, 103, 94, 840, 107, 399, 1249, 55, 445, 45, 463, 351, 276, 32, 308, 9, 125, 47, 691, 88, 320, 1259, 51, 362, 43, 391, 307, 257, 29, 259, 9, 124, 44, 916, 98, 358, 1249, 51, 380, 44, 449, 332, 283, 29, 281, 9, 254, 42, 352, 76, 314, 1255, 37, 311, 29, 364, 275, 228, 34, 280, 9, 59, 
183, 830, 211, 307, 1261, 63, 324, 49, 395, 192, 269, 58, 197, 17, 99, 45, 290, 69, 241, 1243, 34, 239, 29, 296, 197, 209, 34, 218, 9, 59, 911, 290, 69, 300, 1250, 36, 308, 26, 324, 258, 219, 34, 258, 10, 470, 47, 671, 89, 318, 1247, 51, 351, 44, 386, 299, 256, 37, 255, 9, 106, 93, 840, 103, 398, 1249, 53, 436, 45, 458, 348, 275, 31, 309, 9, 123, 47, 691, 88, 320, 1259, 50, 363, 43, 391, 303, 256, 32, 259, 9, 124, 44, 916, 97, 358, 1248, 51, 380, 43, 444, 327, 281, 31, 281, 9, 278, 51, 352, 77, 313, 1256, 36, 316, 29, 350, 270, 227, 31, 280, 8, 58, 
98, 826, 135, 296, 1260, 61, 314, 49, 391, 191, 278, 58, 189, 17, 101, 45, 290, 69, 241, 1242, 38, 235, 30, 290, 193, 209, 32, 215, 8, 58, 916, 290, 68, 298, 1250, 36, 308, 29, 311, 250, 216, 32, 254, 8, 471, 46, 671, 87, 315, 1252, 51, 346, 44, 390, 299, 260, 29, 252, 9, 107, 92, 840, 103, 395, 1247, 54, 443, 45, 458, 347, 274, 31, 306, 9, 123, 47, 691, 89, 317, 1263, 49, 360, 43, 389, 304, 262, 25, 256, 9, 125, 42, 916, 97, 356, 1255, 51, 378, 43, 447, 326, 279, 29, 278, 9, 253, 41, 352, 75, 314, 1263, 36, 311, 29, 357, 269, 226, 30, 277, 9, 56, 
242, 829, 197, 295, 1267, 62, 320, 49, 389, 190, 255, 58, 193, 18, 99, 46, 297, 67, 253, 1258, 35, 233, 31, 297, 193, 211, 36, 213, 9, 59, 917, 297, 77, 302, 1269, 40, 277, 31, 326, 245, 220, 39, 260, 9, 485, 48, 671, 89, 309, 1248, 50, 339, 44, 383, 291, 261, 30, 250, 10, 96, 92, 840, 100, 388, 1262, 54, 437, 44, 453, 340, 275, 31, 304, 9, 122, 47, 691, 87, 311, 1253, 49, 354, 43, 390, 295, 258, 27, 254, 9, 124, 42, 916, 96, 350, 1293, 54, 371, 44, 452, 319, 280, 37, 276, 10, 259, 42, 352, 78, 308, 1260, 36, 309, 29, 349, 260, 225, 31, 274, 9, 58, 
216, 830, 295, 309, 3871, 160, 330, 140, 1131, 195, 752, 112, 201, 41, 297, 128, 300, 200, 251, 3816, 99, 239, 89, 892, 196, 639, 85, 208, 25, 171, 2701, 300, 219, 309, 3819, 108, 318, 79, 991, 257, 674, 96, 251, 25, 1442, 131, 671, 270, 319, 3837, 156, 350, 132, 1182, 301, 783, 91, 256, 28, 277, 285, 840, 313, 400, 3852, 163, 450, 136, 1392, 348, 843, 87, 310, 27, 352, 135, 691, 270, 321, 3851, 147, 363, 142, 1183, 304, 574, 66, 260, 19, 273, 91, 916, 218, 359, 3674, 157, 382, 134, 1376, 327, 852, 88, 282, 26, 739, 113, 352, 235, 314, 3607, 111, 312, 87, 1091, 273, 698, 96, 280, 26, 182, 
178, 830, 218, 302, 1475, 94, 323, 52, 395, 191, 252, 56, 195, 17, 107, 46, 300, 67, 254, 1242, 33, 240, 29, 288, 196, 212, 32, 210, 9, 60, 912, 300, 68, 315, 22, 39, 318, 28, 325, 252, 220, 40, 245, 10, 483, 48, 671, 90, 314, 1246, 50, 348, 45, 394, 298, 256, 30, 252, 10, 96, 93, 840, 102, 392, 1257, 55, 444, 45, 460, 347, 280, 36, 305, 9, 124, 48, 691, 88, 317, 1251, 49, 359, 43, 407, 301, 258, 34, 256, 9, 132, 46, 916, 100, 355, 1258, 51, 378, 43, 444, 324, 278, 30, 278, 9, 256, 42, 352, 76, 314, 1256, 36, 314, 29, 353, 269, 228, 30, 280, 9, 57, 
216, 831, 216, 299, 3653, 160, 312, 141, 1110, 187, 749, 108, 191, 53, 284, 131, 300, 204, 249, 3858, 104, 230, 92, 669, 195, 612, 99, 201, 28, 175, 2718, 300, 185, 313, 3488, 106, 318, 81, 981, 251, 673, 95, 238, 26, 1448, 131, 671, 267, 311, 3553, 110, 344, 138, 1174, 296, 781, 92, 249, 28, 281, 268, 840, 309, 389, 3591, 120, 439, 112, 1411, 342, 844, 93, 303, 27, 357, 135, 691, 266, 313, 3832, 148, 355, 134, 1195, 296, 702, 64, 253, 19, 270, 91, 916, 255, 351, 3843, 154, 374, 132, 1365, 321, 868, 89, 275, 26, 738, 112, 352, 232, 316, 3833, 107, 311, 87, 1092, 266, 687, 87, 277, 24, 163, 
