json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros),
163, 2683, 468, 1935, 2049, 235, 1920, 142, 1293, 1113, 494, 281, 1007, 27, 317, 2852, 920, 120, 935, 31, 65, 938, 48, 662, 879, 336, 144, 889, 12, 1436, 95, 1501, 239, 1050, 1311, 111, 1143, 78, 809, 964, 396, 47, 825, 10, 304, 171, 1670, 249, 1127, 1289, 119, 1176, 79, 862, 1021, 438, 70, 902, 19, 345, 103, 1511, 244, 1050, 1302, 110, 1139, 77, 804, 967, 400, 44, 828, 14, 396, 86, 2026, 284, 1241, 1298, 115, 1260, 79, 944, 1005, 441, 39, 870, 11, 641, 
448, 2693, 1050, 1959, 1345, 201, 1890, 134, 1166, 1114, 488, 67, 998, 37, 321, 2880, 920, 114, 935, 30, 61, 938, 43, 653, 887, 338, 69, 890, 12, 1431, 95, 1501, 246, 1046, 1289, 112, 1136, 78, 808, 965, 413, 49, 817, 16, 303, 162, 1670, 242, 1123, 1282, 108, 1186, 82, 844, 1021, 415, 51, 903, 14, 371, 113, 1511, 235, 1053, 1303, 111, 1140, 77, 805, 967, 399, 46, 820, 11, 389, 87, 2026, 283, 1254, 1303, 114, 1254, 78, 971, 1010, 451, 67, 863, 14, 674, 
156, 2696, 406, 1996, 2066, 195, 1951, 135, 1159, 1123, 490, 66, 1005, 21, 318, 2872, 920, 119, 935, 32, 66, 938, 45, 650, 889, 342, 59, 887, 12, 1452, 96, 1501, 235, 1064, 1285, 114, 1146, 79, 822, 967, 401, 50, 824, 12, 303, 166, 1670, 246, 1132, 1290, 113, 1195, 79, 864, 1025, 436, 74, 899, 15, 357, 104, 1518, 247, 1057, 1306, 116, 1156, 80, 820, 969, 400, 52, 837, 12, 402, 88, 2026, 288, 1260, 1295, 117, 1262, 79, 947, 1009, 443, 39, 870, 12, 631, 
153, 2701, 403, 1962, 2049, 197, 1946, 134, 1149, 1123, 488, 66, 991, 21, 309, 2849, 920, 114, 932, 1284, 59, 938, 42, 629, 887, 346, 46, 887, 10, 1427, 94, 1501, 235, 1043, 1284, 115, 1140, 77, 801, 958, 398, 43, 823, 11, 297, 161, 1670, 241, 1120, 1306, 112, 1180, 78, 848, 1021, 426, 49, 900, 12, 336, 100, 1521, 233, 1050, 1290, 108, 1141, 76, 795, 963, 405, 42, 828, 11, 401, 94, 2026, 289, 1252, 1299, 117, 1259, 80, 962, 1006, 445, 48, 869, 12, 632, 
445, 2699, 1048, 1987, 1327, 196, 1943, 133, 1169, 1112, 502, 82, 995, 21, 321, 2883, 920, 125, 932, 1267, 73, 938, 45, 664, 894, 340, 57, 892, 12, 1457, 101, 1501, 249, 1052, 1299, 130, 1152, 80, 817, 968, 402, 56, 824, 13, 301, 166, 1670, 245, 1134, 1327, 110, 1165, 79, 869, 1022, 417, 46, 899, 11, 338, 100, 1521, 235, 1051, 1289, 107, 1157, 76, 808, 970, 397, 38, 829, 11, 384, 86, 2026, 285, 1255, 1325, 118, 1268, 79, 951, 1010, 454, 43, 869, 11, 616, 
155, 2693, 398, 1967, 2070, 195, 1948, 133, 1149, 1111, 491, 66, 1000, 24, 306, 2845, 920, 116, 935, 33, 58, 938, 44, 648, 888, 339, 55, 898, 11, 1438, 94, 1501, 236, 1049, 1315, 114, 1145, 79, 804, 966, 397, 49, 828, 12, 312, 169, 1670, 243, 1136, 1291, 110, 1188, 76, 862, 1021, 419, 49, 906, 12, 338, 100, 1521, 249, 1048, 1337, 117, 1155, 79, 816, 971, 400, 52, 833, 13, 396, 88, 2026, 292, 1253, 3323, 366, 1255, 242, 1280, 1010, 450, 52, 874, 12, 624, 
443, 2691, 1170, 1975, 1464, 197, 1921, 133, 1149, 1111, 488, 65, 1012, 20, 305, 2869, 920, 116, 935, 30, 61, 938, 43, 645, 879, 355, 71, 889, 26, 1504, 98, 1501, 241, 1056, 1290, 113, 1143, 77, 811, 964, 402, 50, 825, 12, 296, 164, 1670, 240, 1127, 1418, 133, 1188, 82, 886, 1021, 432, 65, 900, 15, 351, 103, 1521, 244, 1050, 1283, 112, 1150, 76, 796, 967, 407, 52, 830, 11, 386, 87, 2026, 280, 1244, 1298, 126, 1256, 85, 972, 1007, 447, 63, 870, 13, 682, 
164, 2688, 406, 1973, 1306, 212, 1912, 134, 1146, 1102, 488, 67, 995, 21, 313, 2877, 920, 98, 935, 29, 62, 938, 41, 627, 878, 333, 44, 890, 10, 1412, 111, 1501, 262, 1058, 1280, 113, 1145, 77, 800, 963, 398, 50, 826, 12, 299, 164, 1670, 239, 1120, 1302, 110, 1184, 77, 847, 1018, 424, 52, 906, 14, 353, 101, 1521, 238, 1049, 1303, 114, 1149, 76, 806, 967, 402, 48, 830, 12, 384, 87, 2026, 287, 1253, 1307, 116, 1268, 80, 951, 1007, 444, 43, 872, 11, 623, 
327, 2682, 970, 1961, 3609, 468, 1931, 329, 1874, 1101, 489, 67, 993, 22, 310, 2865, 920, 124, 933, 1259, 69, 938, 42, 640, 885, 363, 94, 890, 14, 1455, 96, 1501, 248, 1057, 1277, 113, 1149, 78, 822, 962, 401, 57, 825, 14, 304, 166, 1670, 247, 1131, 1288, 117, 1186, 94, 1004, 1023, 461, 80, 902, 16, 356, 105, 1521, 246, 1056, 1283, 116, 1147, 79, 803, 964, 447, 77, 828, 16, 419, 94, 2026, 301, 1248, 1294, 124, 1253, 83, 961, 1012, 487, 65, 870, 13, 644, 
448, 2697, 1175, 1994, 2359, 196, 1948, 134, 2136, 1115, 784, 73, 1015, 21, 316, 2878, 920, 113, 935, 29, 60, 938, 42, 627, 887, 333, 44, 892, 11, 1405, 94, 1501, 231, 1054, 1303, 110, 1147, 76, 791, 967, 396, 44, 830, 11, 296, 166, 1670, 242, 1136, 1291, 108, 1201, 76, 847, 1028, 413, 39, 904, 10, 329, 99, 1521, 230, 1054, 1284, 113, 1156, 74, 788, 974, 394, 35, 835, 11, 382, 87, 2026, 280, 1260, 1290, 113, 1263, 78, 962, 1017, 452, 41, 876, 11, 616, 
