json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), protoref ser(micros), protoref len(bytes), protoref & lz4 #(micros), protoref & lz4 len(bytes), protoref & lz4 !(micros), protoref & snappy #(micros), protoref & snappy len(bytes), protoref & snappy !(micros), protoref & zlib #(micros), protoref & zlib len(bytes), protoref & zlib !(micros), protoref & zstd #(micros), protoref & zstd len(bytes), protoref & zstd !(micros), protoref de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros), capnproto ser(micros), capnproto len(bytes), capnproto & lz4 #(micros), capnproto & lz4 len(bytes), capnproto & lz4 !(micros), capnproto & snappy #(micros), capnproto & snappy len(bytes), capnproto & snappy !(micros), capnproto & zlib #(micros), capnproto & zlib len(bytes), capnproto & zlib !(micros), capnproto & zstd #(micros), capnproto & zstd len(bytes), capnproto & zstd !(micros), capnproto de(micros),
128, 2080, 280, 1202, 1318, 172, 1252, 128, 862, 694, 397, 69, 660, 19, 221, 80, 590, 102, 601, 1278, 59, 608, 40, 496, 549, 290, 56, 576, 12, 150, 1924, 590, 116, 601, 1278, 69, 608, 43, 517, 549, 290, 68, 576, 11, 996, 79, 1371, 194, 782, 1306, 108, 787, 80, 719, 642, 370, 101, 536, 18, 240, 159, 1600, 218, 811, 1289, 112, 861, 108, 808, 695, 386, 63, 592, 13, 276, 83, 1381, 211, 787, 1293, 105, 787, 77, 704, 641, 365, 51, 534, 12, 282, 70, 1796, 219, 865, 1280, 101, 844, 78, 762, 676, 401, 37, 573, 10, 467, 73, 592, 114, 586, 1266, 62, 610, 45, 572, 554, 307, 117, 564, 12, 144, 
124, 2098, 274, 1235, 1287, 161, 1245, 125, 843, 708, 395, 40, 672, 15, 219, 77, 590, 97, 601, 1254, 55, 608, 39, 474, 550, 281, 30, 576, 9, 128, 1892, 590, 99, 601, 1254, 56, 608, 40, 482, 550, 279, 34, 576, 9, 966, 76, 1371, 196, 785, 1278, 100, 787, 75, 678, 642, 361, 43, 541, 12, 207, 141, 1600, 199, 823, 1287, 98, 869, 75, 775, 696, 381, 42, 598, 11, 241, 77, 1381, 193, 788, 1271, 94, 789, 74, 683, 643, 354, 36, 538, 10, 268, 67, 1796, 213, 875, 1284, 99, 864, 75, 763, 679, 400, 34, 581, 11, 457, 71, 592, 110, 588, 1250, 58, 610, 41, 485, 554, 276, 32, 556, 14, 121, 
368, 2095, 825, 1229, 3974, 489, 1244, 377, 2576, 703, 1212, 132, 665, 48, 633, 257, 590, 301, 601, 3848, 175, 608, 120, 1479, 550, 855, 98, 578, 25, 391, 5660, 590, 304, 601, 3840, 172, 608, 118, 1477, 550, 880, 106, 578, 26, 2921, 223, 1371, 601, 785, 3891, 290, 794, 227, 2032, 643, 1079, 104, 540, 31, 639, 409, 1600, 594, 807, 3904, 300, 860, 228, 2364, 696, 1156, 99, 595, 31, 702, 224, 1388, 568, 789, 3905, 287, 797, 222, 2053, 644, 1087, 104, 542, 32, 812, 202, 1796, 644, 868, 3929, 299, 846, 231, 2310, 680, 1219, 106, 581, 31, 1353, 206, 592, 343, 588, 3478, 148, 610, 101, 1241, 555, 681, 61, 568, 11, 133, 
380, 2096, 789, 1231, 3698, 486, 1250, 384, 2553, 710, 1213, 126, 669, 47, 636, 244, 590, 227, 605, 64, 163, 608, 117, 1468, 550, 853, 97, 576, 24, 384, 5353, 590, 227, 605, 65, 165, 608, 119, 1475, 550, 865, 93, 576, 24, 2894, 220, 1371, 582, 778, 3906, 290, 782, 225, 2030, 642, 1084, 99, 536, 31, 625, 408, 1600, 594, 811, 3639, 220, 863, 165, 2121, 694, 1180, 119, 593, 35, 727, 229, 1391, 580, 782, 3887, 288, 793, 225, 2061, 644, 1087, 99, 536, 30, 811, 199, 1796, 650, 865, 3921, 297, 846, 229, 2325, 681, 1217, 101, 577, 31, 1350, 204, 592, 335, 586, 3526, 169, 610, 119, 1479, 556, 866, 97, 566, 25, 360, 
125, 2091, 271, 1228, 1293, 161, 1247, 123, 845, 704, 395, 42, 662, 16, 212, 78, 590, 100, 601, 1254, 56, 608, 39, 486, 550, 279, 32, 576, 9, 128, 1890, 590, 106, 601, 1257, 85, 608, 56, 510, 551, 286, 51, 576, 11, 982, 78, 1371, 191, 780, 1319, 102, 789, 76, 687, 642, 358, 45, 540, 12, 210, 140, 1600, 201, 810, 1278, 100, 862, 75, 769, 696, 387, 36, 595, 10, 243, 77, 1391, 187, 787, 1269, 94, 797, 74, 671, 643, 356, 38, 540, 10, 280, 69, 1796, 214, 861, 1295, 97, 841, 78, 756, 678, 399, 33, 580, 10, 456, 72, 592, 109, 585, 1269, 56, 610, 39, 481, 554, 283, 31, 565, 9, 122, 
127, 2085, 278, 1226, 1287, 161, 1252, 127, 839, 705, 395, 42, 672, 15, 225, 78, 590, 97, 601, 1254, 56, 608, 39, 484, 547, 278, 35, 578, 9, 135, 1932, 590, 99, 601, 1256, 60, 608, 39, 483, 546, 278, 34, 578, 9, 954, 87, 1371, 186, 780, 1275, 97, 784, 74, 670, 640, 354, 37, 537, 11, 206, 142, 1600, 198, 802, 1285, 98, 861, 75, 774, 692, 378, 36, 593, 11, 237, 76, 1391, 186, 784, 1281, 102, 795, 74, 670, 641, 359, 35, 537, 10, 268, 67, 1796, 210, 862, 1276, 97, 845, 75, 795, 676, 396, 44, 579, 11, 458, 73, 592, 117, 588, 1274, 72, 610, 51, 522, 554, 285, 66, 568, 12, 144, 
299, 2097, 613, 1229, 3572, 488, 1240, 379, 2384, 707, 1152, 121, 685, 35, 459, 189, 590, 176, 605, 66, 172, 608, 119, 1507, 556, 859, 98, 581, 25, 313, 4782, 590, 197, 605, 67, 192, 608, 122, 1491, 557, 854, 73, 581, 19, 2689, 221, 1371, 570, 784, 3886, 287, 789, 223, 2070, 645, 1091, 113, 540, 33, 588, 305, 1600, 470, 811, 3973, 307, 863, 243, 2388, 697, 1161, 108, 597, 33, 733, 227, 1391, 574, 788, 3897, 288, 806, 223, 2048, 647, 1095, 97, 541, 30, 812, 201, 1796, 645, 876, 3925, 296, 856, 227, 2379, 682, 1218, 103, 581, 31, 1374, 205, 592, 340, 588, 3847, 161, 610, 118, 1478, 554, 851, 93, 555, 53, 362, 
351, 2088, 611, 1212, 3312, 495, 1241, 387, 2258, 706, 1212, 128, 669, 47, 640, 228, 590, 194, 605, 64, 168, 608, 117, 1487, 553, 856, 91, 578, 24, 379, 5683, 590, 200, 605, 69, 176, 608, 121, 1530, 553, 867, 108, 578, 27, 3041, 221, 1371, 575, 781, 3933, 292, 787, 223, 2057, 642, 1127, 114, 538, 34, 620, 433, 1600, 604, 815, 3905, 301, 865, 229, 2379, 697, 1181, 105, 595, 32, 705, 226, 1391, 569, 785, 3900, 296, 804, 226, 2127, 641, 1101, 113, 537, 33, 832, 204, 1796, 664, 860, 3922, 300, 853, 229, 2324, 679, 1215, 108, 576, 37, 1358, 206, 592, 336, 587, 3843, 169, 610, 118, 1505, 558, 855, 96, 567, 26, 360, 
128, 2091, 277, 1229, 1286, 159, 1255, 126, 863, 702, 399, 44, 676, 15, 215, 79, 590, 97, 601, 1262, 62, 608, 48, 494, 549, 281, 42, 578, 9, 134, 1918, 590, 104, 601, 1265, 59, 608, 41, 489, 548, 293, 38, 578, 9, 973, 76, 1371, 187, 780, 1276, 100, 780, 76, 676, 638, 369, 43, 539, 12, 209, 144, 1600, 197, 812, 1288, 98, 863, 80, 776, 693, 382, 37, 594, 10, 241, 76, 1391, 196, 784, 1280, 94, 792, 74, 702, 641, 365, 42, 539, 11, 275, 69, 1796, 218, 865, 1291, 101, 849, 75, 769, 677, 396, 37, 580, 10, 457, 72, 592, 111, 584, 1257, 55, 610, 39, 496, 552, 277, 33, 554, 13, 123, 
125, 2089, 270, 1234, 1290, 162, 1261, 125, 846, 710, 399, 43, 677, 16, 220, 78, 590, 96, 601, 1254, 53, 608, 39, 486, 552, 278, 31, 576, 9, 130, 1876, 590, 102, 601, 1260, 57, 608, 40, 495, 552, 280, 42, 576, 10, 976, 85, 1371, 193, 786, 1273, 100, 790, 76, 681, 645, 357, 45, 542, 13, 210, 141, 1600, 197, 816, 1283, 99, 870, 77, 782, 700, 379, 37, 600, 11, 239, 77, 1391, 187, 790, 1271, 105, 800, 74, 672, 646, 356, 36, 542, 10, 270, 67, 1796, 214, 877, 1285, 99, 856, 76, 775, 686, 393, 35, 582, 11, 476, 71, 592, 109, 588, 1258, 56, 610, 39, 484, 556, 279, 32, 558, 13, 122, 
