json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), protoref ser(micros), protoref len(bytes), protoref & lz4 #(micros), protoref & lz4 len(bytes), protoref & lz4 !(micros), protoref & snappy #(micros), protoref & snappy len(bytes), protoref & snappy !(micros), protoref & zlib #(micros), protoref & zlib len(bytes), protoref & zlib !(micros), protoref & zstd #(micros), protoref & zstd len(bytes), protoref & zstd !(micros), protoref de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros), capnproto ser(micros), capnproto len(bytes), capnproto & lz4 #(micros), capnproto & lz4 len(bytes), capnproto & lz4 !(micros), capnproto & snappy #(micros), capnproto & snappy len(bytes), capnproto & snappy !(micros), capnproto & zlib #(micros), capnproto & zlib len(bytes), capnproto & zlib !(micros), capnproto & zstd #(micros), capnproto & zstd len(bytes), capnproto & zstd !(micros), capnproto de(micros), flexbuffers ser(micros), flexbuffers len(bytes), flexbuffers & lz4 #(micros), flexbuffers & lz4 len(bytes), flexbuffers & lz4 !(micros), flexbuffers & snappy #(micros), flexbuffers & snappy len(bytes), flexbuffers & snappy !(micros), flexbuffers & zlib #(micros), flexbuffers & zlib len(bytes), flexbuffers & zlib !(micros), flexbuffers & zstd #(micros), flexbuffers & zstd len(bytes), flexbuffers & zstd !(micros), flexbuffers de(micros),
77, 1332, 212, 947, 1273, 112, 950, 75, 681, 598, 327, 79, 608, 21, 143, 54, 340, 57, 355, 17, 33, 358, 28, 375, 351, 49, 53, 349, 11, 49, 1504, 340, 64, 355, 21, 38, 358, 30, 393, 351, 59, 69, 349, 11, 719, 42, 938, 161, 676, 1261, 72, 665, 48, 567, 580, 352, 89, 598, 18, 189, 100, 1044, 239, 654, 1303, 102, 681, 75, 614, 584, 388, 103, 599, 24, 217, 77, 937, 239, 660, 1581, 85, 666, 69, 841, 574, 482, 96, 588, 24, 244, 45, 1155, 189, 735, 1580, 114, 736, 80, 667, 626, 345, 133, 638, 22, 299, 66, 344, 90, 346, 1579, 58, 362, 36, 433, 338, 254, 88, 333, 13, 115, 421, 1140, 186, 778, 1277, 100, 779, 76, 686, 674, 351, 49, 689, 17, 172, 
229, 1334, 653, 955, 4150, 310, 961, 224, 692, 597, 326, 51, 597, 17, 131, 52, 339, 52, 354, 17, 29, 357, 26, 390, 350, 46, 34, 348, 8, 40, 1470, 339, 53, 354, 17, 29, 357, 28, 361, 350, 48, 32, 348, 8, 675, 39, 937, 148, 675, 1308, 71, 664, 49, 568, 578, 316, 59, 596, 13, 137, 79, 1044, 167, 659, 1316, 103, 681, 74, 621, 581, 326, 65, 599, 14, 156, 47, 937, 159, 660, 1264, 67, 665, 47, 545, 569, 306, 37, 585, 14, 159, 38, 1155, 166, 727, 1287, 93, 748, 70, 612, 622, 333, 40, 637, 14, 261, 56, 344, 64, 349, 1266, 36, 362, 26, 361, 334, 237, 36, 338, 9, 90, 394, 1140, 166, 777, 1269, 88, 779, 71, 634, 673, 336, 36, 701, 10, 173, 
242, 1334, 669, 945, 3921, 319, 963, 225, 1974, 595, 993, 123, 606, 47, 385, 151, 340, 150, 355, 49, 84, 358, 79, 1093, 351, 139, 81, 349, 23, 120, 4450, 340, 151, 355, 50, 86, 358, 81, 1102, 351, 137, 85, 349, 24, 2075, 112, 938, 449, 683, 3860, 203, 664, 137, 1664, 578, 945, 113, 598, 30, 358, 207, 1044, 474, 659, 3858, 271, 682, 210, 1767, 583, 983, 100, 600, 29, 400, 126, 937, 460, 661, 3946, 197, 663, 138, 1650, 571, 951, 99, 587, 39, 479, 109, 1155, 507, 727, 3870, 269, 747, 212, 1872, 623, 1013, 95, 639, 51, 726, 148, 344, 187, 349, 3816, 87, 362, 78, 1116, 345, 738, 90, 338, 25, 254, 1252, 1140, 515, 778, 4064, 287, 780, 231, 1999, 672, 1022, 121, 690, 56, 501, 
75, 1328, 208, 942, 1266, 103, 940, 74, 662, 597, 375, 51, 598, 17, 129, 54, 340, 52, 355, 17, 30, 358, 28, 378, 351, 47, 47, 349, 9, 46, 1508, 340, 59, 355, 18, 33, 358, 29, 369, 351, 47, 37, 349, 8, 687, 40, 938, 151, 682, 1271, 65, 670, 47, 557, 581, 313, 40, 597, 11, 126, 84, 1044, 179, 656, 1314, 97, 693, 70, 587, 582, 330, 41, 588, 16, 139, 44, 937, 153, 660, 1263, 64, 669, 45, 544, 575, 313, 35, 586, 13, 159, 37, 1155, 167, 727, 1293, 106, 751, 81, 644, 624, 336, 35, 637, 12, 252, 54, 344, 57, 354, 1248, 32, 362, 25, 373, 347, 246, 37, 334, 9, 90, 398, 1140, 166, 778, 1276, 102, 788, 77, 689, 676, 347, 87, 692, 23, 213, 
243, 1334, 654, 952, 3910, 335, 959, 229, 2123, 595, 936, 77, 606, 20, 144, 56, 340, 63, 355, 19, 33, 358, 29, 371, 351, 46, 32, 349, 8, 39, 1476, 340, 51, 355, 17, 28, 358, 27, 388, 351, 47, 42, 349, 9, 721, 45, 938, 172, 676, 1342, 96, 669, 55, 603, 585, 318, 79, 597, 14, 170, 82, 1044, 174, 656, 1265, 103, 679, 75, 624, 582, 328, 79, 598, 15, 168, 56, 937, 174, 660, 1285, 74, 669, 50, 580, 575, 361, 68, 596, 13, 185, 40, 1155, 176, 726, 1265, 92, 756, 71, 627, 625, 333, 40, 637, 14, 258, 56, 344, 66, 348, 1243, 33, 362, 26, 361, 342, 233, 34, 338, 9, 94, 395, 1140, 165, 778, 1384, 90, 780, 73, 657, 674, 337, 43, 692, 16, 172, 
79, 1336, 212, 943, 1290, 121, 948, 88, 663, 602, 338, 43, 606, 17, 127, 53, 340, 50, 355, 17, 29, 358, 26, 363, 351, 45, 30, 349, 8, 38, 1487, 340, 49, 355, 17, 30, 358, 27, 363, 351, 46, 31, 349, 8, 677, 39, 938, 149, 676, 1278, 64, 663, 46, 722, 578, 453, 105, 597, 20, 203, 110, 1044, 239, 656, 1708, 110, 676, 81, 619, 584, 324, 64, 601, 15, 157, 46, 937, 166, 661, 1271, 84, 665, 47, 547, 574, 333, 44, 596, 10, 181, 45, 1155, 178, 727, 1265, 91, 751, 71, 615, 625, 333, 37, 639, 15, 272, 55, 344, 64, 348, 1257, 34, 362, 26, 365, 342, 236, 37, 338, 9, 89, 396, 1140, 165, 777, 1365, 89, 779, 72, 646, 675, 335, 41, 694, 14, 168, 
75, 1330, 210, 949, 1284, 101, 947, 73, 641, 599, 324, 41, 598, 18, 126, 53, 340, 48, 355, 17, 28, 358, 26, 359, 351, 46, 31, 349, 8, 37, 1484, 340, 49, 355, 17, 29, 358, 27, 362, 351, 46, 31, 349, 9, 682, 40, 938, 149, 677, 1258, 65, 669, 46, 547, 581, 323, 38, 598, 11, 123, 72, 1044, 156, 659, 1263, 89, 680, 70, 586, 583, 317, 33, 596, 10, 135, 45, 937, 150, 661, 1274, 63, 668, 45, 546, 572, 307, 32, 597, 9, 155, 38, 1155, 166, 727, 1271, 89, 750, 70, 606, 628, 343, 38, 641, 15, 252, 54, 344, 64, 349, 1256, 31, 362, 26, 367, 344, 236, 34, 338, 9, 86, 396, 1140, 165, 779, 1280, 89, 780, 72, 647, 677, 336, 36, 704, 10, 167, 
80, 1332, 212, 960, 1284, 101, 953, 75, 645, 595, 353, 45, 605, 18, 143, 62, 339, 57, 354, 17, 29, 357, 25, 359, 350, 46, 30, 348, 8, 38, 1483, 339, 49, 354, 17, 30, 357, 27, 378, 350, 49, 35, 348, 9, 745, 61, 937, 210, 675, 1680, 82, 666, 57, 713, 579, 367, 76, 597, 14, 160, 83, 1044, 175, 661, 1291, 97, 681, 78, 598, 583, 323, 44, 600, 12, 148, 47, 937, 156, 660, 1273, 67, 670, 46, 554, 575, 308, 37, 597, 9, 163, 39, 1155, 168, 727, 1373, 105, 748, 71, 615, 625, 334, 36, 640, 14, 256, 57, 344, 66, 349, 1256, 32, 362, 26, 366, 338, 235, 33, 338, 9, 90, 404, 1140, 166, 778, 1281, 93, 779, 73, 682, 672, 466, 86, 690, 26, 243, 
239, 1341, 324, 957, 1274, 113, 959, 80, 668, 604, 329, 63, 600, 19, 134, 55, 340, 49, 355, 37, 29, 358, 27, 361, 351, 46, 30, 349, 8, 39, 1460, 340, 50, 355, 17, 29, 358, 26, 360, 351, 46, 29, 349, 9, 673, 40, 938, 149, 677, 1268, 64, 668, 46, 551, 581, 309, 37, 598, 11, 129, 75, 1044, 156, 658, 1254, 88, 682, 69, 592, 585, 316, 34, 600, 10, 138, 44, 937, 152, 661, 1259, 64, 667, 46, 550, 573, 306, 39, 597, 9, 159, 38, 1155, 166, 727, 1278, 91, 738, 71, 612, 621, 333, 39, 640, 14, 257, 55, 344, 63, 349, 1241, 32, 362, 26, 380, 341, 234, 36, 338, 9, 91, 401, 1140, 166, 779, 1265, 88, 781, 72, 649, 675, 335, 40, 694, 16, 174, 
171, 1329, 487, 962, 3604, 375, 959, 288, 1647, 593, 1031, 101, 605, 35, 296, 115, 340, 126, 355, 38, 68, 358, 82, 1429, 351, 171, 121, 349, 29, 130, 3477, 340, 149, 355, 51, 79, 358, 65, 878, 351, 107, 92, 349, 19, 1586, 88, 938, 353, 683, 3082, 165, 670, 109, 1285, 581, 711, 144, 598, 26, 287, 165, 1044, 372, 659, 3097, 217, 687, 163, 1327, 583, 833, 117, 597, 32, 421, 131, 937, 469, 660, 3650, 152, 670, 105, 1551, 574, 942, 110, 597, 30, 486, 114, 1155, 516, 727, 3721, 214, 755, 163, 1464, 627, 763, 91, 638, 31, 552, 112, 344, 130, 350, 3256, 79, 362, 62, 834, 342, 703, 111, 338, 28, 263, 879, 1140, 379, 779, 2949, 103, 788, 77, 679, 674, 342, 58, 694, 19, 181, 
