json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), protoref ser(micros), protoref len(bytes), protoref & lz4 #(micros), protoref & lz4 len(bytes), protoref & lz4 !(micros), protoref & snappy #(micros), protoref & snappy len(bytes), protoref & snappy !(micros), protoref & zlib #(micros), protoref & zlib len(bytes), protoref & zlib !(micros), protoref & zstd #(micros), protoref & zstd len(bytes), protoref & zstd !(micros), protoref de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros), capnproto ser(micros), capnproto len(bytes), capnproto & lz4 #(micros), capnproto & lz4 len(bytes), capnproto & lz4 !(micros), capnproto & snappy #(micros), capnproto & snappy len(bytes), capnproto & snappy !(micros), capnproto & zlib #(micros), capnproto & zlib len(bytes), capnproto & zlib !(micros), capnproto & zstd #(micros), capnproto & zstd len(bytes), capnproto & zstd !(micros), capnproto de(micros), flexbuffers ser(micros), flexbuffers len(bytes), flexbuffers & lz4 #(micros), flexbuffers & lz4 len(bytes), flexbuffers & lz4 !(micros), flexbuffers & snappy #(micros), flexbuffers & snappy len(bytes), flexbuffers & snappy !(micros), flexbuffers & zlib #(micros), flexbuffers & zlib len(bytes), flexbuffers & zlib !(micros), flexbuffers & zstd #(micros), flexbuffers & zstd len(bytes), flexbuffers & zstd !(micros), flexbuffers de(micros),
71, 82, 186, 95, 3482, 120, 100, 61, 825, 84, 386, 275, 87, 21, 40, 19, 29, 30, 44, 11, 22, 47, 14, 180, 38, 174, 114, 38, 8, 22, 193, 29, 24, 44, 12, 20, 47, 12, 152, 38, 174, 26, 38, 8, 93, 13, 68, 26, 83, 11, 20, 86, 16, 195, 79, 23, 36, 77, 8, 30, 28, 102, 30, 117, 11, 22, 120, 15, 207, 113, 25, 30, 111, 7, 47, 14, 69, 26, 84, 11, 20, 87, 15, 206, 80, 24, 27, 78, 12, 30, 11, 97, 36, 107, 1247, 22, 115, 15, 205, 108, 25, 29, 101, 9, 81, 23, 64, 28, 74, 1241, 20, 82, 14, 185, 75, 22, 25, 64, 8, 25, 45, 114, 36, 115, 1249, 23, 132, 15, 215, 113, 180, 30, 110, 8, 33, 
22, 83, 31, 98, 12, 22, 101, 17, 198, 85, 172, 48, 92, 9, 35, 22, 29, 26, 44, 11, 21, 47, 12, 153, 38, 175, 26, 38, 7, 20, 178, 29, 22, 44, 11, 19, 47, 12, 150, 38, 173, 24, 38, 8, 97, 13, 68, 27, 83, 12, 26, 86, 17, 217, 79, 27, 31, 77, 9, 30, 29, 102, 33, 117, 13, 22, 120, 17, 213, 113, 27, 29, 111, 8, 40, 15, 69, 26, 84, 11, 19, 87, 15, 190, 80, 23, 25, 78, 8, 30, 11, 97, 35, 107, 1576, 42, 115, 21, 242, 108, 29, 57, 102, 12, 91, 26, 64, 38, 74, 1247, 21, 82, 15, 188, 75, 23, 28, 67, 9, 26, 47, 114, 38, 116, 1261, 24, 132, 15, 215, 111, 184, 33, 112, 9, 39, 
17, 83, 29, 98, 12, 22, 101, 17, 194, 85, 169, 34, 87, 12, 26, 15, 29, 23, 44, 10, 21, 47, 11, 150, 38, 175, 23, 38, 8, 19, 175, 29, 22, 44, 10, 19, 47, 11, 149, 38, 174, 24, 38, 8, 92, 13, 68, 26, 83, 11, 21, 86, 15, 190, 79, 23, 26, 77, 8, 27, 26, 102, 29, 117, 12, 22, 120, 15, 205, 113, 25, 29, 111, 8, 36, 14, 69, 26, 84, 11, 20, 87, 16, 186, 80, 22, 23, 78, 8, 28, 10, 97, 35, 107, 1262, 21, 115, 15, 205, 108, 25, 29, 102, 9, 71, 23, 64, 29, 74, 1337, 20, 82, 15, 180, 69, 168, 26, 67, 9, 23, 44, 114, 37, 116, 1260, 22, 132, 15, 211, 113, 178, 30, 112, 9, 33, 
19, 83, 34, 98, 14, 21, 101, 16, 197, 85, 170, 32, 92, 7, 26, 16, 29, 22, 44, 9, 18, 47, 12, 149, 37, 175, 25, 38, 8, 19, 193, 29, 24, 44, 11, 21, 47, 12, 154, 37, 177, 27, 38, 9, 97, 13, 68, 27, 83, 12, 20, 86, 16, 192, 79, 23, 27, 77, 8, 29, 27, 102, 30, 117, 12, 22, 120, 15, 205, 106, 177, 29, 111, 8, 36, 14, 69, 26, 84, 11, 19, 87, 15, 188, 80, 23, 23, 78, 8, 28, 12, 97, 36, 107, 1251, 20, 115, 14, 205, 108, 25, 27, 102, 9, 68, 21, 64, 27, 74, 1265, 22, 82, 15, 183, 62, 167, 27, 63, 8, 24, 45, 114, 37, 115, 1255, 24, 132, 16, 218, 109, 178, 34, 110, 9, 36, 
17, 83, 31, 98, 15, 24, 101, 17, 194, 85, 171, 31, 88, 12, 25, 16, 29, 22, 44, 10, 18, 47, 11, 149, 38, 180, 22, 38, 8, 20, 171, 29, 21, 44, 11, 19, 47, 11, 149, 38, 177, 23, 38, 8, 92, 12, 68, 26, 83, 11, 19, 86, 15, 195, 79, 23, 26, 77, 8, 27, 26, 102, 29, 117, 12, 21, 120, 15, 209, 113, 26, 28, 111, 8, 35, 14, 69, 26, 84, 11, 19, 87, 15, 189, 80, 24, 22, 78, 8, 27, 10, 97, 49, 107, 1256, 22, 115, 15, 209, 108, 25, 29, 102, 9, 69, 22, 64, 28, 74, 1270, 23, 82, 15, 188, 75, 23, 30, 67, 9, 25, 45, 114, 38, 116, 1272, 23, 132, 16, 219, 115, 182, 31, 112, 9, 34, 
19, 83, 31, 98, 12, 29, 101, 17, 198, 85, 171, 32, 92, 8, 25, 16, 29, 32, 44, 10, 22, 47, 11, 148, 38, 177, 23, 38, 7, 19, 174, 29, 22, 44, 11, 20, 47, 12, 150, 38, 178, 24, 38, 8, 93, 13, 68, 27, 83, 11, 20, 86, 15, 190, 79, 23, 26, 77, 8, 27, 26, 102, 29, 117, 11, 21, 120, 15, 211, 113, 26, 28, 111, 8, 35, 14, 69, 26, 84, 11, 19, 87, 15, 188, 80, 23, 23, 78, 8, 28, 11, 97, 35, 107, 1254, 21, 115, 14, 221, 108, 25, 29, 102, 9, 68, 21, 64, 28, 74, 1246, 21, 82, 15, 181, 68, 168, 26, 67, 8, 24, 43, 114, 37, 116, 1251, 22, 132, 15, 212, 114, 179, 29, 112, 9, 32, 
19, 83, 34, 98, 13, 29, 101, 19, 202, 84, 173, 39, 88, 13, 30, 17, 29, 27, 44, 10, 22, 47, 13, 157, 38, 178, 30, 38, 8, 21, 188, 29, 28, 44, 12, 22, 47, 13, 156, 38, 178, 39, 38, 10, 119, 15, 68, 32, 83, 35, 28, 86, 18, 207, 79, 26, 41, 77, 10, 36, 31, 102, 35, 117, 12, 24, 120, 16, 213, 113, 30, 36, 111, 8, 42, 15, 69, 28, 84, 11, 20, 87, 15, 190, 80, 30, 35, 78, 9, 35, 13, 97, 40, 107, 1255, 24, 115, 17, 211, 108, 25, 34, 102, 9, 78, 23, 64, 28, 74, 1262, 29, 82, 17, 211, 66, 175, 51, 59, 11, 39, 51, 114, 45, 116, 1262, 27, 132, 16, 220, 112, 192, 45, 112, 10, 45, 
18, 83, 29, 98, 11, 21, 101, 18, 207, 85, 171, 34, 92, 9, 27, 15, 29, 22, 44, 10, 19, 47, 11, 152, 38, 176, 22, 38, 7, 19, 175, 29, 21, 44, 11, 18, 47, 11, 148, 38, 175, 22, 38, 8, 95, 12, 68, 27, 83, 11, 20, 86, 15, 190, 79, 23, 25, 77, 7, 27, 25, 102, 29, 117, 12, 21, 120, 15, 208, 113, 26, 29, 111, 8, 36, 14, 69, 26, 84, 11, 19, 87, 15, 190, 80, 23, 23, 78, 8, 28, 11, 97, 35, 107, 1266, 21, 115, 15, 206, 108, 25, 29, 102, 9, 69, 21, 64, 28, 74, 1251, 20, 82, 15, 182, 75, 23, 25, 67, 8, 23, 43, 114, 37, 116, 1257, 22, 132, 16, 211, 114, 191, 30, 112, 9, 32, 
17, 83, 30, 98, 12, 21, 101, 20, 194, 84, 170, 33, 87, 12, 26, 16, 29, 22, 44, 10, 18, 47, 10, 149, 37, 176, 22, 38, 8, 19, 171, 29, 21, 44, 11, 18, 47, 12, 150, 37, 176, 22, 38, 8, 91, 12, 68, 27, 83, 11, 19, 86, 15, 195, 79, 23, 25, 77, 8, 26, 25, 102, 29, 117, 12, 22, 120, 15, 206, 113, 26, 28, 111, 8, 35, 14, 69, 26, 84, 11, 19, 87, 14, 187, 80, 22, 23, 78, 8, 27, 11, 97, 38, 107, 1265, 22, 115, 14, 206, 108, 25, 30, 102, 9, 67, 21, 64, 28, 74, 1250, 20, 82, 15, 182, 75, 22, 24, 67, 9, 23, 42, 114, 36, 115, 1261, 24, 132, 15, 211, 111, 180, 31, 110, 8, 32, 
19, 84, 30, 99, 12, 21, 102, 16, 195, 85, 173, 34, 93, 8, 27, 18, 29, 24, 44, 10, 19, 47, 11, 149, 38, 176, 22, 38, 7, 19, 178, 29, 21, 44, 11, 19, 47, 11, 149, 38, 180, 23, 38, 9, 91, 13, 68, 27, 83, 11, 20, 86, 15, 191, 79, 24, 26, 77, 8, 28, 26, 102, 30, 117, 12, 21, 120, 15, 208, 113, 26, 30, 111, 10, 34, 14, 69, 26, 84, 11, 19, 87, 15, 189, 80, 23, 23, 78, 8, 28, 11, 97, 35, 107, 1263, 22, 115, 15, 208, 108, 25, 31, 102, 9, 68, 21, 64, 29, 74, 1248, 20, 82, 15, 182, 75, 22, 25, 67, 9, 23, 43, 114, 37, 116, 1250, 22, 132, 14, 224, 112, 180, 30, 112, 9, 32, 
