batch_size, data_type, row_count, json, json_lz4, json_snappy, json_zlib, json_zstd, protobuf, protobuf_lz4, protobuf_snappy, protobuf_zlib, protobuf_zstd, msgpack, msgpack_lz4, msgpack_snappy, msgpack_zlib, msgpack_zstd, bson, bson_lz4, bson_snappy, bson_zlib, bson_zstd, cbor, cbor_lz4, cbor_snappy, cbor_zlib, cbor_zstd, pickle, pickle_lz4, pickle_snappy, pickle_zlib, pickle_zstd
1, bms, 1498, 2000370, 1426436, 1430004, 896208, 909144, 509905, 532375, 536869, 526383, 523387, 1406888, 996965, 1004475, 872492, 896831, 1563912, 984861, 1020164, 877310, 895852, 1406344, 1015820, 999351, 863376, 892301, 1730190, 1088818, 1126644, 939542, 959966
1, gps, 374, 31600, 37144, 38332, 32170, 34452, 11157, 16767, 17889, 14525, 14523, 25798, 31408, 32530, 29912, 29164, 38148, 43757, 44880, 42105, 41488, 26276, 31886, 33008, 30390, 29642, 36278, 40018, 43010, 40392, 38147
1, imu, 3746, 1018027, 1072686, 1085455, 721351, 758509, 348251, 404441, 415679, 389457, 381965, 572756, 628946, 640184, 613962, 606470, 693010, 749200, 760438, 734216, 726724, 576606, 632796, 644034, 617812, 610320, 779168, 779285, 846596, 792486, 752857
1, motor, 1498, 316596, 322568, 343560, 229873, 232937, 89753, 112223, 116717, 106231, 103235, 209338, 209315, 236302, 225797, 201816, 266644, 264578, 293608, 249648, 242882, 210940, 210917, 237904, 226986, 203418, 277130, 263629, 304020, 260633, 254612
1, peripherals, 374, 71590, 60408, 63494, 46132, 49344, 19649, 25259, 26381, 23763, 23015, 53738, 55230, 60470, 46385, 48046, 82918, 66954, 65949, 51341, 53564, 54216, 56092, 60948, 44059, 46702, 88154, 74098, 71489, 56578, 58504
1, shadow, 374, 76543, 79546, 83275, 63353, 65023, 25743, 31353, 32475, 29857, 29109, 58336, 63198, 65068, 62438, 61702, 82654, 84170, 89386, 71466, 72447, 58814, 63676, 65546, 60696, 62094, 83776, 87514, 90508, 75870, 76588
10, bms, 217, 2896415, 1507949, 1451660, 848465, 794448, 738688, 716351, 742594, 603210, 592684, 2036246, 956851, 902461, 685832, 595349, 2226420, 864113, 921060, 693708, 643205, 2035399, 962547, 902247, 685110, 592414, 2494632, 987167, 953142, 706877, 609965
10, gps, 53, 44347, 15517, 16349, 9900, 10146, 15837, 15886, 15687, 12816, 12313, 36241, 16317, 18244, 15544, 13088, 44520, 20271, 22690, 17941, 15852, 36875, 16393, 18566, 15582, 13223, 48548, 18387, 19531, 16795, 14372
10, imu, 544, 1473956, 1078371, 1050215, 606937, 544294, 505793, 511779, 515585, 487587, 489656, 827042, 572509, 627679, 526381, 450484, 908480, 613393, 633363, 556957, 490812, 832586, 573463, 628548, 526979, 452256, 1102144, 681152, 686721, 550077, 474151
10, motor, 217, 457111, 265277, 271173, 153127, 144883, 130073, 133290, 133979, 121072, 127239, 301465, 169857, 172676, 139300, 117533, 347200, 171725, 183543, 151028, 129127, 303739, 170515, 173075, 140258, 117401, 389732, 187879, 184660, 147220, 125662
10, peripherals, 53, 101023, 16614, 18588, 11000, 12108, 27875, 10823, 10567, 8528, 9307, 75839, 15280, 16690, 12050, 12721, 107968, 19828, 22469, 14865, 15648, 76473, 15385, 16860, 11819, 12476, 122066, 19163, 21258, 13834, 15073
10, shadow, 53, 108056, 32277, 34741, 21920, 21129, 36507, 17613, 17572, 17122, 16234, 82351, 23203, 25971, 21439, 19075, 107590, 31179, 34119, 24766, 23640, 82985, 23334, 26268, 21381, 19215, 115858, 27074, 32015, 24000, 22646
100, bms, 52, 6941661, 3443116, 3228515, 1809995, 1898969, 1770271, 1679808, 1771207, 1383370, 1351511, 4879708, 2160706, 2001172, 1467391, 1237350, 5330520, 1921684, 2032560, 1504855, 1443380, 4877426, 2162833, 2001338, 1467072, 1230202, 5975112, 2220581, 2080757, 1490380, 1242599
100, gps, 12, 100669, 25992, 27112, 13848, 11897, 35937, 32796, 29298, 20992, 21376, 82454, 29831, 34050, 23876, 20087, 99720, 34401, 38433, 26698, 22904, 83730, 29865, 34286, 23640, 20055, 109272, 32562, 34522, 24053, 20535
100, imu, 133, 3607341, 2365259, 2258937, 1340521, 1200610, 1236773, 1218785, 1239167, 1063608, 1088082, 2021617, 1304085, 1391269, 1103005, 963772, 2209130, 1321149, 1366003, 1151559, 1037191, 2034888, 1304600, 1392044, 1102305, 964034, 2687398, 1498433, 1487788, 1120561, 972107
100, motor, 52, 1096587, 554942, 560707, 321328, 290144, 311873, 312469, 312809, 251315, 265576, 722574, 361229, 361435, 268512, 228287, 827320, 345642, 370170, 287279, 248329, 727826, 361097, 361508, 269921, 228357, 931112, 384273, 372584, 273517, 228639
100, peripherals, 12, 228976, 21041, 25047, 10238, 11418, 63208, 16557, 15875, 9847, 11932, 172125, 18099, 22244, 11455, 11785, 243391, 26603, 33020, 15705, 16717, 173417, 18117, 22254, 11422, 11700, 275743, 23443, 29305, 12330, 14120
100, shadow, 12, 244862, 51046, 56423, 32270, 26671, 82737, 33141, 32052, 26445, 25318, 186854, 36588, 42482, 29228, 22815, 242520, 43912, 49970, 33674, 27821, 188146, 36568, 42717, 29179, 22851, 261672, 37933, 48698, 30239, 23911
1000, bms, 294, 393010997, 193739540, 181517630, 99917605, 113387811, 100375114, 95120074, 100392166, 77607382, 75927987, 276358798, 121662398, 112296689, 81931380, 71209859, 301617540, 108095106, 114093591, 83727323, 83205920, 276229534, 121749840, 112372907, 81930073, 70902915, 337808352, 125295256, 117051100, 83056738, 71395921
1000, gps, 72, 6165129, 1437220, 1450718, 708616, 519273, 2223746, 1258526, 1215192, 772146, 703198, 4980764, 1338194, 1444347, 976303, 714750, 6041520, 1758308, 1904565, 1119559, 973647, 5052868, 1345285, 1454735, 972856, 713495, 6552576, 1654642, 1674128, 904349, 725590
1000, imu, 738, 201396579, 130144203, 121123861, 70550379, 71379435, 69355490, 67913691, 69374678, 58081558, 60769319, 113522762, 71952453, 76011546, 60963612, 53851601, 123179580, 71905767, 75148254, 62517115, 57463418, 114260866, 71939647, 76014469, 60870396, 53847421, 149081904, 81862107, 80983102, 61458821, 53961636
