batch_size, data_type, row_count, json, json_lz4, json_snappy, json_zlib, json_zstd, protobuf, protobuf_lz4, protobuf_snappy, protobuf_zlib, protobuf_zstd, protoref, protoref_lz4, protoref_snappy, protoref_zlib, protoref_zstd, msgpack, msgpack_lz4, msgpack_snappy, msgpack_zlib, msgpack_zstd, bson, bson_lz4, bson_snappy, bson_zlib, bson_zstd, cbor, cbor_lz4, cbor_snappy, cbor_zlib, cbor_zstd, pickle, pickle_lz4, pickle_snappy, pickle_zlib, pickle_zstd, capnproto, capnproto_lz4, capnproto_snappy, capnproto_zlib, capnproto_zstd
1, bms, 141, 188122, 134197, 134584, 84187, 85471, 47943, 50058, 50481, 49494, 49212, 47943, 50058, 50481, 49494, 49212, 132197, 95429, 93977, 81796, 84170, 147204, 92702, 96004, 82252, 84054, 132235, 95448, 94210, 81004, 83626, 162855, 102500, 105939, 88141, 90163, 48504, 49185, 51042, 48295, 47634
1, gps, 35, 2922, 3439, 3552, 2984, 3152, 1015, 1400, 1645, 1097, 1330, 1015, 1540, 1645, 1330, 1330, 2380, 2905, 3010, 2765, 2695, 3570, 4095, 4200, 3928, 3874, 2427, 2952, 3057, 2812, 2742, 3395, 3745, 4025, 3780, 3569, 2240, 2590, 2870, 2564, 2330
1, imu, 354, 95816, 100963, 102188, 68036, 71273, 32795, 38105, 39167, 36689, 35981, 32795, 38105, 39167, 36689, 35981, 53780, 59090, 60152, 57674, 56966, 65490, 70800, 71862, 69384, 68676, 54238, 59548, 60610, 58132, 57424, 73632, 73648, 80004, 74336, 71140, 42480, 47070, 48852, 46374, 43982
1, motor, 141, 29663, 30220, 32201, 21566, 21848, 8333, 10448, 10871, 9884, 9602, 8333, 10448, 10871, 9884, 9602, 19472, 19468, 22010, 21023, 18763, 25098, 24906, 27636, 23356, 22849, 19717, 19713, 22255, 21167, 19008, 26085, 24812, 28549, 24549, 23956, 12408, 14373, 14946, 13959, 13653
10, bms, 51, 680331, 354678, 341135, 199327, 186554, 173558, 168367, 174476, 141690, 139373, 173558, 168349, 174476, 141705, 139368, 478270, 225241, 211973, 161171, 140020, 523260, 203571, 216756, 162996, 150868, 478153, 225872, 211978, 161014, 139389, 586296, 232135, 224577, 166094, 143533, 160752, 145410, 161670, 132288, 128929
10, gps, 12, 9962, 3580, 3801, 2272, 2306, 3537, 2941, 2812, 2323, 2508, 3537, 3623, 3633, 2993, 2972, 8052, 3754, 4130, 3557, 3006, 10080, 4698, 5277, 4129, 3646, 8269, 3778, 4258, 3588, 3053, 10992, 4237, 4510, 3874, 3317, 4224, 3740, 3726, 3200, 3316
10, imu, 131, 354088, 259479, 253190, 146094, 131136, 121703, 123208, 124061, 117153, 117816, 121703, 123202, 124061, 117108, 117817, 198869, 137805, 150796, 126520, 108377, 218770, 147633, 153043, 134012, 118129, 200283, 138026, 151075, 126727, 108802, 265406, 164008, 165386, 132396, 114071, 119472, 113495, 121830, 110617, 109290
10, motor, 51, 107115, 62399, 63812, 35993, 34058, 30473, 31200, 31391, 28408, 29808, 30473, 31200, 31391, 28404, 29806, 70559, 39917, 40438, 32672, 27585, 81600, 40791, 43393, 35429, 30362, 71173, 40079, 40687, 32842, 27552, 91596, 44167, 43408, 34558, 29538, 30192, 29937, 31110, 28130, 28618
100, bms, 15, 2001594, 992946, 930569, 521893, 547382, 510610, 484530, 510880, 398923, 389763, 510610, 484545, 510880, 398918, 389663, 1407336, 623228, 577296, 423250, 356786, 1537650, 554142, 585978, 433948, 416585, 1406752, 623446, 577352, 423150, 355065, 1723590, 640351, 600555, 429847, 358656, 468720, 414719, 468990, 374514, 361482
100, gps, 3, 25032, 6290, 6472, 3289, 2888, 8937, 6289, 5844, 4014, 4039, 8937, 7757, 7142, 5074, 4964, 20327, 7180, 8085, 5749, 4799, 24930, 8397, 9796, 6449, 5745, 20728, 7181, 8253, 5722, 4826, 27318, 7893, 8344, 5849, 5004, 9696, 7451, 7683, 5265, 5528
