batch_size, data_type, row_count, json_ser, json_lz4#, json_lz4!, json_snappy#, json_snappy!, json_zlib#, json_zlib!, json_zstd#, json_zstd!, json_de, protobuf_ser, protobuf_lz4#, protobuf_lz4!, protobuf_snappy#, protobuf_snappy!, protobuf_zlib#, protobuf_zlib!, protobuf_zstd#, protobuf_zstd!, protobuf_de, protoref_ser, protoref_lz4#, protoref_lz4!, protoref_snappy#, protoref_snappy!, protoref_zlib#, protoref_zlib!, protoref_zstd#, protoref_zstd!, protoref_de, msgpack_ser, msgpack_lz4#, msgpack_lz4!, msgpack_snappy#, msgpack_snappy!, msgpack_zlib#, msgpack_zlib!, msgpack_zstd#, msgpack_zstd!, msgpack_de, bson_ser, bson_lz4#, bson_lz4!, bson_snappy#, bson_snappy!, bson_zlib#, bson_zlib!, bson_zstd#, bson_zstd!, bson_de, cbor_ser, cbor_lz4#, cbor_lz4!, cbor_snappy#, cbor_snappy!, cbor_zlib#, cbor_zlib!, cbor_zstd#, cbor_zstd!, cbor_de, pickle_ser, pickle_lz4#, pickle_lz4!, pickle_snappy#, pickle_snappy!, pickle_zlib#, pickle_zlib!, pickle_zstd#, pickle_zstd!, pickle_de, capnproto_ser, capnproto_lz4#, capnproto_lz4!, capnproto_snappy#, capnproto_snappy!, capnproto_zlib#, capnproto_zlib!, capnproto_zstd#, capnproto_zstd!, capnproto_de
1, bms, 141, 21534, 55817, 333544, 26661, 18893, 165354, 84666, 10801, 4091, 33075, 13500, 13126, 4204, 7386, 6742, 94250, 11823, 7806, 2021, 9370, 376185, 13232, 4460, 7612, 6927, 95128, 11914, 8323, 2137, 173822, 9525, 36034, 312186, 16018, 11132, 134886, 76310, 9671, 2597, 29760, 16917, 37389, 307862, 22157, 17190, 141345, 77063, 9010, 2531, 32360, 10312, 35345, 302270, 15414, 10585, 128679, 71456, 8497, 2504, 36413, 8612, 38033, 275717, 19252, 14798, 129312, 88141, 8076, 2874, 53449, 11517, 13441, 254652, 6625, 5183, 73842, 47345, 7199, 1756, 17385
1, gps, 35, 711, 1206, 5396, 860, 621, 7432, 6398, 1706, 395, 1033, 584, 972, 47113, 869, 449, 5963, 6628, 1525, 319, 863, 6804, 957, 413, 763, 453, 5814, 6453, 1069, 312, 3915, 542, 1192, 466, 884, 643, 8052, 984, 1240, 339, 1137, 1072, 1233, 466, 875, 646, 8578, 1637, 1327, 335, 1486, 582, 1175, 436, 843, 605, 7580, 920, 1113, 318, 1142, 447, 1447, 48578, 908, 591, 8091, 3780, 1353, 360, 2759, 846, 1132, 46686, 891, 575, 7225, 2102, 1314, 367, 1054
1, imu, 354, 27519, 45276, 167148, 25950, 21183, 195881, 123528, 24910, 8235, 29146, 12339, 18273, 6433, 11528, 8491, 120573, 13797, 14097, 4222, 18203, 191960, 16565, 6330, 11101, 8420, 117276, 13601, 14591, 4373, 101405, 9870, 18233, 6725, 11332, 10086, 131491, 15611, 15490, 4161, 23524, 16651, 18694, 6553, 11663, 9527, 135996, 16718, 15861, 4009, 28133, 10126, 17308, 6267, 10525, 9457, 126009, 15246, 14117, 3951, 27167, 8549, 24232, 630483, 13405, 9578, 137387, 74336, 16819, 4543, 52637, 13662, 18735, 620007, 12198, 7770, 116154, 13831, 16599, 4336, 19556
1, motor, 141, 7040, 13639, 295104, 6679, 4742, 58893, 44214, 8353, 2872, 9099, 4246, 6486, 2414, 4481, 2884, 43846, 4986, 5205, 1728, 6137, 61107, 6271, 2580, 4542, 2993, 44065, 5115, 5575, 1806, 33583, 3833, 8881, 288003, 5826, 4497, 53625, 6712, 7716, 2049, 8718, 7357, 9687, 285172, 5889, 4350, 55849, 44035, 7221, 1981, 10311, 3866, 8515, 271428, 5040, 3976, 47968, 10324, 6585, 1714, 9047, 3073, 8954, 254695, 5176, 3864, 49512, 24549, 6536, 1680, 17677, 5076, 6333, 246400, 4526, 3044, 41720, 5013, 6472, 1621, 6517
10, bms, 51, 83967, 218328, 190343, 69215, 48073, 519508, 152119, 8354, 2786, 103207, 36536, 41863, 126093, 19694, 11291, 159324, 62657, 4722, 1675, 18024, 1093401, 22741, 67299, 10923, 6247, 86931, 34154, 3835, 1070, 318677, 14908, 53177, 72060, 29104, 23461, 200150, 61063, 3765, 906, 53986, 26831, 51318, 72190, 29233, 23001, 202938, 64702, 3616, 923, 58528, 16401, 52926, 72192, 28871, 23225, 199618, 60571, 3185, 822, 72599, 14471, 56358, 72533, 29566, 23771, 202016, 166094, 3227, 845, 106087, 17585, 21053, 67116, 9553, 6031, 87353, 32059, 2786, 958, 34479
10, gps, 12, 2234, 2618, 25216, 1165, 974, 7317, 4946, 910, 303, 1904, 846, 1328, 24394, 706, 611, 5679, 4212, 645, 176, 1193, 18214, 1404, 23884, 748, 547, 6477, 4478, 672, 179, 9557, 916, 1788, 25129, 981, 896, 7858, 5211, 627, 189, 1923, 1834, 2000, 24986, 1052, 883, 9270, 5635, 647, 183, 2421, 920, 1774, 25610, 1024, 898, 7974, 4926, 577, 172, 2339, 784, 1878, 24736, 1071, 898, 9081, 3874, 635, 181, 5050, 799, 1555, 24888, 702, 560, 7192, 4584, 628, 173, 1154
10, imu, 131, 58208, 127347, 373133, 45751, 31624, 223280, 66760, 9610, 2912, 42481, 13813, 15260, 89851, 8421, 5520, 87535, 45693, 5528, 1288, 26632, 372863, 15640, 91818, 8632, 5630, 87386, 45603, 5744, 1337, 189286, 12981, 32395, 174803, 15036, 10365, 109884, 54164, 5832, 1610, 40494, 21956, 33016, 175026, 14822, 10333, 115407, 56700, 5409, 1564, 45259, 13508, 32034, 175920, 14831, 10269, 110383, 54257, 5409, 1496, 53240, 11875, 39015, 176779, 16003, 10763, 128556, 132396, 5362, 1523, 84286, 12611, 20388, 170551, 8881, 5462, 85160, 43857, 5130, 1251, 24695
10, motor, 51, 12777, 26170, 125365, 15854, 12290, 82112, 39104, 4284, 1560, 20630, 7556, 8060, 22091, 5396, 3883, 47687, 27449, 3178, 817, 12333, 181828, 8161, 21805, 5486, 3898, 47774, 27298, 3377, 847, 93190, 7290, 18338, 124884, 9431, 7272, 65754, 35140, 3647, 1070, 19838, 13184, 18982, 123953, 9483, 7299, 74590, 37178, 3503, 1046, 23104, 7345, 18344, 124637, 9251, 7235, 66112, 34922, 3330, 987, 26424, 6523, 20942, 125606, 9545, 7261, 73173, 34558, 3297, 988, 43695, 6676, 10669, 122760, 5443, 3819, 47360, 26869, 3172, 997, 11394
100, bms, 15, 88421, 207179, 54913, 58022, 109633, 997661, 212323, 9817, 2296, 155501, 53941, 69412, 30113, 25070, 23860, 325655, 70667, 4310, 978, 25415, 2015491, 69030, 30145, 25148, 23764, 325775, 70612, 4638, 990, 917581, 41207, 136355, 39867, 40873, 54868, 719204, 145903, 4713, 987, 151753, 73007, 126033, 38620, 41890, 53844, 719364, 157307, 5572, 1411, 163062, 44995, 136320, 39882, 41003, 54821, 714837, 145931, 4529, 939, 207171, 39895, 138518, 39603, 43041, 56179, 792957, 429847, 4627, 980, 299593, 46440, 59204, 29164, 18676, 12718, 256000, 63697, 3791, 752, 93551
100, gps, 3, 2061, 2709, 4185, 1444, 1333, 7963, 2874, 258, 76, 2311, 941, 1469, 3999, 586, 439, 5494, 1745, 180, 52, 1291, 24906, 1590, 3976, 654, 442, 6373, 1799, 214, 52, 12597, 1045, 2006, 4111, 983, 768, 8881, 2774, 235, 52, 2390, 2151, 2333, 4193, 1566, 1355, 11555, 3214, 209, 54, 2833, 1034, 1969, 4113, 998, 761, 8841, 2811, 186, 46, 3218, 964, 2179, 4173, 1505, 1330, 11483, 5849, 194, 49, 6251, 665, 1624, 4007, 674, 422, 7549, 1861, 187, 59, 1094
